,PrimaryColor,BreedCategory,IntakeStatus,PetAgeCategory,Sex,TopBreed,BinaryOutcome
32375,1,1,1,0,1,18,0
32377,1,1,1,1,1,17,1
32380,1,0,1,3,1,26,0
32381,3,1,4,0,0,4,0
32382,10,1,1,0,1,17,1
32391,7,1,0,0,0,18,0
32431,2,0,1,0,1,17,0
32441,3,1,1,2,0,7,0
32443,0,0,2,2,1,15,0
32448,3,0,1,0,1,4,1
32451,0,1,1,3,1,18,0
32455,7,1,4,0,1,7,0
32469,0,2,1,0,0,17,0
32498,3,0,1,3,1,10,1
32499,1,1,1,3,0,2,1
32500,7,1,2,2,0,7,0
32502,3,0,1,1,1,6,1
32511,0,2,1,2,1,18,0
32513,0,1,1,1,0,7,0
32515,3,1,0,3,1,1,0
32517,0,0,1,0,0,17,1
32519,0,0,2,2,0,17,0
32528,3,1,0,0,0,18,0
32531,0,0,1,0,1,22,1
32533,0,1,1,0,0,15,0
32539,9,0,1,1,1,17,0
32540,0,1,2,2,1,17,0
32541,0,2,2,2,0,22,0
32545,7,0,0,0,0,18,0
32567,0,1,4,2,1,22,0
32568,0,1,2,2,0,17,0
32572,3,1,0,0,1,18,0
32573,0,1,1,3,1,18,0
32576,7,0,1,0,1,11,1
32594,9,1,1,3,0,4,1
32602,3,1,1,0,1,17,1
32605,10,1,1,0,1,0,1
32606,0,1,1,0,1,18,0
32610,10,1,0,0,0,18,0
32615,4,2,1,1,1,17,1
32618,7,0,1,2,0,17,0
32638,0,0,1,3,0,15,0
32639,10,1,4,1,0,18,0
32650,0,1,1,0,1,15,0
32653,3,1,1,3,0,18,0
32656,10,1,4,0,1,7,0
32662,0,0,1,1,1,15,0
32664,1,1,1,0,0,1,0
32665,11,0,0,3,0,12,0
32668,2,2,1,1,1,13,1
32676,0,1,1,0,1,22,0
32677,7,0,0,0,0,15,0
32685,3,0,1,3,0,12,1
32688,3,0,1,1,0,6,0
32689,0,0,1,0,0,22,0
32695,0,1,1,2,0,7,0
32696,2,0,1,1,1,18,0
32698,7,1,0,3,1,6,0
32699,7,0,2,2,0,8,0
32700,0,0,1,3,1,12,0
32701,7,0,0,3,1,12,0
32703,7,0,1,2,0,12,0
32704,0,1,1,0,0,18,0
32705,3,2,1,1,1,18,0
32714,3,0,3,1,1,18,0
32717,0,1,1,2,0,11,0
32719,10,1,1,3,1,6,0
32722,7,2,1,3,1,12,1
32724,3,1,1,0,0,18,0
32725,0,1,1,3,1,4,1
32726,0,2,1,0,1,1,0
32728,2,1,2,0,1,3,0
32729,2,1,1,3,1,18,0
32736,1,1,2,0,0,18,0
32737,0,2,1,3,0,15,0
32740,0,0,1,3,0,15,1
32763,0,0,1,1,0,17,0
32764,3,1,1,0,0,21,1
32765,7,1,1,3,0,18,0
32766,10,0,1,0,0,17,0
32767,9,0,1,3,0,4,0
32768,3,1,2,2,0,20,0
32769,3,0,1,2,1,15,0
32772,0,2,1,1,0,18,0
32775,0,2,1,3,1,5,0
32776,11,0,4,3,0,13,0
32777,3,1,1,3,1,18,1
32778,2,1,1,0,1,6,0
32793,2,1,1,3,0,18,0
32814,10,1,2,2,0,7,0
32817,3,0,4,0,1,12,0
32822,3,1,1,0,1,18,0
32823,1,1,1,3,0,17,0
32827,3,1,1,0,0,18,0
32833,7,0,1,3,1,18,1
32842,2,0,1,1,0,18,0
32848,3,1,0,0,1,18,0
32860,0,1,1,0,1,18,0
32861,0,1,4,0,1,17,0
32866,0,1,2,2,1,8,0
32869,3,1,1,0,1,7,1
32870,0,2,1,1,1,13,0
32873,0,0,1,3,1,12,0
32884,0,2,1,0,1,17,0
32893,0,0,1,3,0,15,1
32897,3,0,1,1,0,12,0
32898,3,0,1,1,0,3,1
32899,0,0,1,3,1,12,1
32915,0,1,2,2,0,15,0
32926,7,2,1,3,0,18,0
32930,3,0,2,2,1,17,0
32946,3,1,2,2,0,5,0
32948,10,1,1,0,0,6,0
32949,10,1,1,0,0,14,0
32952,10,1,1,3,0,2,0
32956,0,2,1,3,1,22,0
32958,7,1,2,1,1,18,0
32960,0,1,4,2,0,22,0
32962,0,1,1,1,1,18,0
32966,0,2,0,0,1,18,0
32968,9,1,1,1,1,4,0
32969,0,0,4,1,1,15,0
32971,9,1,1,2,1,17,0
32972,9,1,1,3,0,4,0
32973,7,0,1,3,0,15,0
32980,3,0,1,0,1,6,0
32983,7,1,0,0,1,18,0
32991,3,1,1,3,0,17,1
32992,10,1,1,0,0,4,0
32997,6,2,2,2,1,10,0
33047,3,1,2,2,0,26,0
33050,5,0,1,1,1,8,1
33054,2,1,1,3,0,17,0
33084,0,0,1,1,1,18,1
33088,7,1,2,2,1,15,0
33091,11,0,1,3,1,13,0
33097,0,1,2,2,1,17,0
33098,10,0,1,1,0,4,0
33102,4,1,1,3,1,2,1
33107,3,0,1,0,1,17,1
33108,0,2,1,1,0,22,0
33111,3,0,1,0,0,12,0
33117,10,1,2,2,1,24,0
33126,2,2,1,1,1,11,0
33127,0,0,1,3,1,15,0
33131,0,1,1,2,0,17,1
33133,7,2,1,0,0,17,1
33136,7,0,1,0,0,17,0
33142,0,1,1,2,0,17,0
33144,0,0,1,2,0,15,0
33145,3,2,1,0,0,17,0
33151,5,0,1,0,1,8,0
33153,7,2,0,3,1,15,0
33156,5,1,2,2,1,11,0
33157,7,1,2,3,0,18,0
33159,2,0,4,3,1,18,0
33167,11,0,1,0,0,15,1
33169,0,1,4,2,0,26,0
33173,3,1,1,0,0,18,0
33181,10,1,4,2,0,17,0
33185,2,0,0,3,0,17,1
33186,0,1,2,2,0,17,0
33195,3,2,1,0,0,15,1
33197,3,1,0,3,1,8,0
33200,5,0,1,2,0,12,0
33219,10,0,1,3,1,18,0
33222,0,2,1,3,1,6,0
33224,3,0,1,0,0,12,0
33238,10,2,4,0,1,20,0
33261,9,0,2,2,0,12,0
33262,0,1,1,3,0,22,1
33268,3,2,1,1,0,13,0
33269,0,0,1,3,1,26,0
33273,0,1,0,0,0,18,0
33280,3,1,1,3,1,14,0
33282,0,2,1,1,0,24,1
33286,10,1,2,2,0,20,0
33294,7,1,1,1,1,18,0
33296,10,1,1,1,0,18,0
33300,0,2,1,3,0,18,0
33301,3,1,1,2,1,11,0
33306,10,1,1,3,1,4,0
33312,11,0,1,1,0,12,0
33313,0,0,1,1,0,15,0
33314,0,0,1,1,0,17,0
33322,10,1,2,2,1,20,0
33326,3,1,1,0,0,18,0
33329,10,1,1,0,1,17,0
33331,10,1,2,0,0,17,0
33332,3,1,1,0,0,7,0
33335,10,1,1,2,0,17,0
33338,0,2,1,3,0,17,0
33340,7,1,1,2,0,12,0
33343,7,0,0,0,1,12,0
33344,2,0,4,2,0,12,0
33345,0,1,1,0,0,18,1
33346,0,1,1,0,1,22,0
33349,2,1,3,1,0,6,0
33355,5,0,1,1,1,18,0
33357,3,1,2,3,0,18,0
33361,0,0,1,3,0,5,1
33364,0,2,1,2,1,17,0
33376,2,1,1,3,0,18,0
33394,7,0,1,0,1,12,0
33402,0,0,1,0,0,26,0
33404,3,2,0,2,0,17,0
33406,7,1,3,3,0,18,0
33407,7,2,1,3,1,12,0
33419,3,2,1,3,0,8,0
33422,3,0,2,2,1,5,0
33423,2,0,1,0,0,6,1
33424,0,0,1,1,0,12,0
33427,2,1,2,2,0,18,0
33428,2,0,1,0,1,18,0
33436,0,1,1,0,1,22,0
33437,0,2,4,0,1,1,0
33438,10,0,4,2,1,8,0
33448,0,0,0,0,1,15,0
33453,0,0,1,3,0,22,0
33455,0,0,2,2,0,17,0
33456,0,1,2,2,0,17,0
33459,0,2,1,3,0,17,0
33461,2,1,1,3,1,18,0
33478,2,2,1,0,1,18,0
33479,9,2,1,3,1,17,1
33481,10,0,4,2,1,18,0
33482,0,1,1,0,1,18,0
33486,0,0,1,3,0,2,1
33493,0,0,1,3,0,15,0
33494,10,1,1,3,1,17,1
33495,7,0,1,0,1,0,0
33500,0,0,1,1,0,5,0
33502,0,1,1,3,1,18,0
33507,7,0,1,0,0,6,0
33514,0,2,1,1,0,25,0
33527,2,0,0,3,1,18,0
33528,2,1,2,3,1,18,0
33531,5,1,4,2,1,17,0
33537,0,1,2,2,0,17,0
33539,7,1,4,3,0,17,1
33543,3,0,4,2,1,15,0
33586,2,0,4,0,1,18,0
33587,2,1,0,3,0,18,0
33603,10,1,1,0,1,18,0
33604,9,1,1,3,1,4,0
33605,5,1,1,3,1,17,1
33607,3,0,0,0,0,9,0
33622,0,1,1,1,0,15,0
33625,0,0,1,0,1,4,1
33628,7,1,0,3,1,18,0
33630,0,0,1,1,0,12,1
33631,9,2,1,3,0,4,0
33632,10,1,1,3,0,18,0
33633,0,2,1,0,1,16,0
33635,3,1,4,2,0,19,0
33639,2,1,1,3,1,17,0
33643,7,2,1,0,0,23,1
33644,0,1,2,0,1,22,0
33646,10,0,0,0,1,17,0
33648,0,0,1,1,0,15,0
33653,0,1,1,3,0,4,1
33670,0,0,1,1,1,15,1
33694,0,1,1,0,1,22,0
33697,3,0,1,3,1,8,0
33699,6,1,1,0,0,3,0
33700,0,0,1,3,1,7,0
33701,0,1,1,3,1,22,1
33702,0,2,0,0,1,17,0
33703,0,2,1,3,0,11,0
33704,0,2,4,3,1,5,0
33705,0,0,4,1,1,15,0
33709,5,1,1,2,0,17,0
33724,3,1,1,0,0,17,1
33727,2,0,1,3,1,18,0
33756,3,1,1,3,0,18,0
33763,10,0,1,0,0,17,0
33768,3,1,2,2,1,17,0
33778,0,1,4,0,0,22,0
33786,7,1,0,0,1,4,0
33789,0,0,1,3,1,17,1
33795,2,0,1,3,1,6,0
33803,9,0,1,3,1,17,0
33804,3,0,1,3,0,17,1
33808,0,0,0,0,1,22,0
33827,2,0,1,3,1,6,0
33828,0,1,1,3,1,15,0
33831,0,1,1,0,1,0,0
33837,3,0,1,0,1,26,1
33838,0,0,1,3,0,4,1
33840,7,1,1,3,0,17,0
33845,7,1,4,2,0,17,0
33847,0,0,1,3,0,15,0
33850,0,1,2,2,0,12,0
33852,5,1,1,0,0,18,0
33853,3,1,2,0,0,8,0
33858,1,1,1,3,1,18,0
33860,3,0,2,2,1,1,0
33861,7,1,1,3,1,4,1
33862,7,1,0,3,0,18,0
33864,0,0,1,2,1,17,0
33870,0,2,1,0,1,12,0
33879,0,0,4,2,0,8,0
33881,9,1,1,1,1,4,0
33882,3,1,1,3,1,18,1
33886,0,1,1,0,1,7,0
33890,9,1,1,1,1,17,0
33892,7,2,1,0,0,10,1
33969,1,1,4,1,1,7,0
33972,0,1,1,0,1,15,0
33975,0,0,4,0,0,15,0
33979,2,0,1,0,1,18,0
33980,0,1,2,0,1,22,0
33981,0,1,1,0,1,25,1
33982,1,1,2,3,0,24,0
33983,2,1,1,1,0,18,0
33985,0,1,1,3,1,17,1
33987,0,2,0,0,1,15,0
33991,2,0,1,1,1,12,0
33996,0,0,1,0,1,11,0
33998,9,1,1,1,0,4,1
34001,11,0,2,2,1,15,1
34002,7,0,0,3,0,5,0
34011,1,1,1,0,0,18,0
34013,9,0,1,3,0,17,1
34059,10,0,1,0,0,18,0
34062,0,2,0,3,0,22,0
34065,3,0,4,3,1,18,0
34067,9,1,4,2,0,4,0
34074,3,0,4,0,0,8,0
34075,0,0,1,3,1,24,0
34076,3,1,1,3,1,15,1
34077,5,0,0,3,0,8,0
34081,1,1,4,0,1,18,0
34083,0,0,1,1,1,15,0
34088,10,1,1,3,1,17,0
34093,7,1,2,2,0,7,0
34095,10,1,2,2,0,17,0
34096,7,2,2,2,0,13,0
34099,9,0,1,0,0,12,0
34101,10,0,1,3,0,18,0
34110,7,1,1,3,1,21,0
34117,0,1,0,0,1,22,0
34122,7,2,1,1,0,17,1
34124,10,1,4,0,1,17,0
34126,0,1,1,0,1,15,0
34127,10,2,2,2,1,17,0
34129,2,0,4,3,1,18,0
34130,0,1,2,2,0,9,0
34171,0,2,0,0,1,18,0
34175,0,0,4,3,0,4,0
34179,10,1,1,3,1,18,0
34180,0,1,4,3,1,22,0
34181,7,0,2,3,1,6,0
34183,9,1,1,0,1,17,1
34186,4,0,1,0,0,11,0
34187,0,1,4,2,1,17,0
34208,0,0,4,0,0,11,0
34209,0,2,1,3,0,17,0
34215,0,2,1,0,1,12,0
34216,0,2,1,2,1,12,0
34221,1,1,4,0,1,1,0
34223,0,0,1,3,0,15,0
34235,0,1,1,1,1,11,0
34243,0,1,1,1,1,15,0
34250,7,1,4,2,1,7,0
34251,10,1,1,2,0,4,0
34252,5,0,1,0,0,6,0
34255,10,1,1,3,1,18,0
34257,0,0,0,0,0,15,0
34261,0,1,1,1,1,15,0
34265,0,1,2,2,0,22,0
34267,1,1,1,0,0,18,0
34269,0,1,1,3,0,12,0
34274,3,1,1,3,1,26,0
34276,0,1,1,3,0,18,0
34278,3,1,4,1,0,4,0
34300,3,1,1,3,1,15,0
34303,0,0,2,2,0,17,0
34304,0,0,0,3,0,5,0
34308,10,1,0,0,1,25,0
34312,0,1,1,3,0,22,0
34313,0,0,2,2,1,4,0
34315,10,1,1,0,0,18,0
34321,0,0,1,0,1,11,0
34327,0,0,1,3,1,15,0
34335,7,1,1,3,1,18,0
34337,0,1,4,2,0,12,0
34344,3,1,1,1,1,9,0
34351,3,2,1,1,0,17,1
34355,3,1,1,3,0,18,0
34358,7,0,1,0,0,7,1
34398,10,1,2,2,0,20,0
34400,2,1,1,0,1,18,0
34408,10,1,0,0,0,18,0
34430,0,1,1,3,1,2,0
34434,10,1,2,3,0,18,0
34440,10,1,1,0,1,7,0
34442,10,1,1,3,1,18,0
34444,7,1,1,3,0,17,0
34449,3,1,1,0,1,14,0
34451,11,1,1,0,1,8,0
34455,4,2,0,3,1,3,0
34462,0,1,1,3,1,17,1
34465,3,2,1,3,1,17,1
34467,10,0,1,3,1,17,0
34478,7,1,1,0,0,26,1
34483,3,2,2,2,0,17,0
34485,10,1,1,0,1,17,0
34489,0,0,1,1,1,15,0
34493,0,1,1,0,1,25,0
34494,7,0,0,0,1,18,0
34496,10,1,1,0,1,8,0
34497,0,1,3,1,1,18,0
34498,0,1,3,1,1,18,0
34501,9,1,1,3,1,17,1
34505,10,0,1,0,1,15,0
34511,0,0,4,2,1,22,0
34518,10,1,2,2,0,17,0
34526,10,2,1,1,1,4,1
34533,0,2,1,0,0,17,0
34558,10,2,1,0,1,20,0
34561,7,1,1,3,0,18,0
34563,0,1,1,0,1,15,0
34567,0,1,1,0,1,12,0
34571,0,1,2,2,0,17,0
34594,10,1,1,1,0,18,0
34601,7,0,1,1,1,4,0
34602,5,2,1,1,1,8,1
34607,10,1,1,1,0,17,1
34608,3,1,1,3,1,18,0
34610,7,1,1,0,1,4,0
34612,9,2,1,3,0,4,0
34613,10,1,1,3,1,12,1
34614,3,0,1,0,1,12,0
34615,10,0,1,0,0,18,0
34621,11,1,1,0,0,13,0
34622,7,1,2,3,0,18,0
34623,10,1,1,3,1,18,0
34624,0,1,4,3,1,5,1
34625,10,1,1,0,0,25,0
34628,10,1,1,0,0,18,0
34633,3,1,1,0,0,6,0
34637,3,0,1,0,1,6,0
34639,0,1,1,0,1,4,0
34640,3,2,1,1,0,18,1
34641,3,0,1,1,1,10,1
34644,10,1,1,0,1,4,0
34663,3,0,1,1,1,12,0
34673,1,1,0,0,1,25,0
34685,9,0,1,3,0,7,0
34686,3,1,1,0,0,18,0
34693,7,0,1,0,0,17,1
34700,7,1,0,0,1,18,0
34720,10,1,0,3,1,18,0
34725,0,1,4,3,1,8,0
34730,7,1,1,3,0,18,0
34739,7,2,1,3,1,21,1
34740,3,1,1,0,0,4,1
34741,10,1,2,2,1,7,0
34742,0,2,1,0,1,12,0
34745,7,2,1,3,0,6,0
34747,0,0,1,1,1,17,0
34748,0,1,2,2,1,8,0
34749,3,1,1,3,1,5,0
34750,0,0,1,1,0,15,0
34751,0,2,1,3,0,4,0
34754,0,2,1,3,1,5,0
34756,0,1,1,1,1,22,1
34761,7,1,0,0,0,18,0
34798,10,0,2,3,1,4,0
34799,0,1,1,1,1,18,0
34805,0,1,1,0,1,12,0
34809,3,1,2,2,1,18,0
34810,3,2,1,1,0,15,0
34833,0,1,1,0,1,15,1
34834,1,1,2,3,0,18,0
34836,9,1,1,0,1,4,0
34840,0,2,0,3,1,15,0
34842,0,1,1,0,1,18,0
34843,3,1,4,3,0,18,0
34844,0,0,0,0,1,23,0
34845,10,1,0,0,0,24,0
34847,3,1,1,3,0,12,0
34849,5,0,1,0,1,12,0
34882,7,0,1,1,1,4,1
34903,3,1,4,2,0,15,0
34915,0,0,1,0,1,4,0
34921,9,0,1,2,0,14,0
34925,11,1,2,2,0,15,0
34926,3,0,2,2,1,4,0
34927,3,0,1,0,1,17,1
34929,3,0,1,0,0,2,0
34931,0,0,1,3,0,15,0
34932,0,1,4,3,1,17,0
34934,7,1,1,2,0,7,1
34939,0,0,1,1,1,18,0
34941,0,0,1,3,0,7,0
34942,0,1,0,3,0,18,0
34963,3,0,4,2,1,10,0
34971,3,0,0,0,1,18,0
34972,10,0,0,3,0,18,0
34976,0,1,1,0,0,7,0
34977,0,1,0,0,1,18,0
34979,7,2,1,3,1,12,0
35009,0,1,1,0,1,15,0
35011,3,1,0,0,1,12,0
35012,11,0,1,0,0,15,0
35021,3,0,1,1,1,12,0
35023,5,0,1,1,0,8,0
35032,0,1,4,2,1,17,0
35037,10,1,2,2,0,17,0
35038,7,1,2,0,0,18,0
35040,0,1,1,0,1,7,0
35041,3,1,2,2,1,20,0
35042,0,1,1,3,0,15,0
35045,2,1,1,0,1,18,0
35047,5,0,1,3,0,15,0
35049,7,1,1,0,1,7,0
35051,3,1,1,3,0,1,0
35052,0,1,2,0,1,22,0
35053,0,0,1,0,0,9,1
35063,0,0,1,3,0,8,0
35065,1,2,1,3,0,26,1
35072,0,1,1,3,0,18,0
35073,0,1,2,2,0,5,0
35083,3,2,0,0,1,20,0
35089,3,2,2,2,0,4,0
35090,3,0,1,1,1,15,1
35109,2,1,0,0,0,18,0
35125,0,0,0,2,0,15,0
35131,3,1,1,0,0,12,0
35135,10,0,0,3,0,5,0
35140,0,1,1,0,1,16,1
35143,3,1,4,0,0,16,0
35144,7,1,2,2,0,17,0
35168,0,2,1,3,1,5,1
35169,0,1,4,2,0,25,0
35173,0,0,1,2,0,25,0
35187,0,0,1,0,1,18,0
35189,0,0,1,3,1,15,0
35190,0,1,1,3,0,18,0
35193,10,0,1,3,0,17,1
35194,3,0,1,1,1,17,1
35195,0,1,2,0,1,24,0
35220,0,0,1,3,0,15,0
35221,10,1,0,3,1,18,0
35223,3,1,2,2,0,4,0
35224,0,1,0,2,1,22,0
35226,10,1,1,0,0,18,0
35230,0,2,1,2,1,5,0
35231,10,1,1,0,1,18,0
35232,2,1,1,2,1,17,0
35233,10,1,1,0,1,7,1
35234,0,0,1,1,1,22,0
35235,3,0,1,0,0,3,0
35236,3,1,1,1,1,15,1
35295,0,0,4,2,1,15,0
35296,9,1,1,0,1,4,0
35298,3,1,1,3,1,18,0
35299,10,0,2,2,0,17,0
35302,0,2,1,3,0,12,0
35304,7,1,4,0,0,17,0
35309,7,0,1,3,1,18,0
35358,3,0,1,1,1,12,0
35364,3,2,1,1,1,24,1
35374,3,1,1,3,1,11,0
35384,2,0,1,3,0,6,1
35385,3,1,1,3,1,18,0
35464,0,2,1,0,0,17,0
35467,9,1,1,2,0,4,0
35477,10,0,1,3,0,12,1
35480,10,2,1,0,0,2,0
35482,0,1,1,1,1,2,0
35509,2,1,1,3,1,6,0
35515,0,0,0,3,1,15,0
35521,10,2,1,0,0,14,0
35522,7,1,1,0,1,18,0
35523,0,0,1,3,0,12,1
35524,0,1,1,2,1,12,0
35528,3,1,1,0,0,6,0
35529,3,0,1,1,1,15,0
35532,9,1,1,3,0,3,0
35533,7,1,1,3,0,6,1
35541,3,1,1,1,1,18,0
35542,11,2,1,3,1,15,0
35554,0,2,1,1,1,16,0
35556,7,1,0,3,1,18,0
35558,0,0,1,1,1,4,0
35563,9,1,1,1,1,4,1
35569,0,1,2,2,1,22,0
35571,3,1,4,0,1,18,0
35572,7,0,1,3,0,1,0
35599,5,1,1,0,1,17,0
35612,2,1,1,0,0,18,0
35632,10,0,1,3,1,11,1
35635,0,1,0,0,1,22,0
35639,11,1,2,2,1,9,0
35645,7,1,1,3,0,18,1
35646,0,2,1,3,1,17,0
35673,0,1,1,0,1,22,0
35681,6,1,0,3,1,12,0
35682,0,0,1,0,1,17,1
35685,10,1,2,2,1,17,0
35686,5,1,1,0,1,18,0
35687,1,0,2,0,1,23,1
35688,2,2,4,3,0,17,0
35691,3,1,1,1,1,7,0
35695,11,1,1,0,0,18,0
35696,3,1,0,0,1,4,0
35698,0,2,1,3,0,15,1
35703,10,1,1,0,1,18,0
35707,7,1,1,3,0,9,0
35708,5,1,1,3,1,6,1
35711,0,2,1,3,1,17,0
35717,7,1,4,2,1,12,0
35718,0,0,1,3,0,15,0
35721,9,1,2,2,0,4,0
35752,2,0,1,3,1,12,0
35761,0,2,4,3,0,15,0
35763,0,0,0,0,1,18,0
35764,0,0,1,3,1,15,0
35768,2,1,3,1,1,6,0
35769,0,1,2,0,1,18,0
35772,3,1,1,0,0,17,0
35774,5,1,2,2,0,13,0
35779,2,0,0,0,1,18,0
35781,3,1,1,1,0,15,0
35783,0,1,2,2,1,12,0
35794,4,0,1,3,1,2,0
35796,10,0,1,0,1,17,0
35797,9,1,1,1,0,4,0
35798,5,0,1,1,0,15,0
35800,7,2,1,1,0,12,1
35801,0,0,4,1,0,15,0
35804,10,0,1,0,0,24,1
35806,10,1,4,2,1,24,0
35812,0,1,1,3,0,12,0
35813,0,1,1,3,0,18,1
35814,3,2,4,1,1,15,0
35819,10,1,1,0,1,4,0
35823,10,2,1,3,0,17,0
35824,0,2,1,0,0,15,0
35827,3,1,1,0,0,9,1
35828,2,1,0,1,0,18,1
35836,3,1,4,3,0,18,0
35837,4,0,1,0,1,2,0
35840,0,1,1,1,0,17,0
35844,3,1,1,3,1,18,0
35846,0,2,1,0,1,22,0
35856,10,1,0,2,0,17,0
35860,7,1,2,2,1,19,0
35871,10,2,4,1,1,15,0
35874,0,1,1,1,1,18,0
35876,0,1,1,3,0,22,0
35878,10,2,1,0,1,6,0
35880,3,0,4,1,1,17,0
35884,9,0,1,3,0,12,1
35904,7,1,1,3,1,18,0
35905,10,1,4,2,0,4,0
35909,0,1,1,3,0,22,0
35913,0,0,1,0,1,7,0
35918,0,1,1,3,0,15,1
35919,9,2,1,1,1,12,0
35942,0,1,1,0,1,17,0
35945,2,1,2,0,1,18,0
35946,2,1,1,0,1,18,1
35953,10,2,1,1,1,17,1
35961,0,0,1,0,1,15,0
35967,0,0,1,1,0,17,1
35976,3,0,1,3,1,17,1
35981,3,0,1,3,1,3,0
35986,0,1,2,0,0,18,0
35988,3,2,1,3,1,17,1
35991,0,0,1,1,1,10,1
35993,7,2,1,3,0,18,0
35994,10,1,1,0,0,7,0
35996,0,1,2,2,0,5,0
35997,4,0,1,0,0,3,0
36002,7,0,1,1,1,17,0
36004,3,0,1,1,1,12,0
36006,4,1,0,3,0,2,0
36007,10,1,1,0,0,17,0
36016,3,2,1,0,0,17,0
36017,10,0,4,2,1,20,0
36025,10,0,1,0,0,18,0
36027,2,0,1,1,1,18,1
36034,0,2,1,0,1,8,0
36035,2,0,4,3,1,18,0
36039,10,0,1,3,0,18,0
36046,10,1,1,3,1,17,1
36047,0,0,2,2,0,12,0
36048,3,0,2,2,1,8,0
36049,0,1,1,0,1,18,0
36051,5,1,1,3,1,18,0
36057,5,1,1,3,1,18,0
36061,0,0,1,0,1,9,0
36062,5,2,1,1,1,11,1
36066,3,2,1,1,0,12,0
36073,7,0,1,1,1,12,0
36087,3,1,1,0,1,18,0
36088,0,1,1,3,1,18,0
36090,10,1,1,3,0,17,0
36091,3,0,1,3,0,15,1
36094,10,1,1,1,1,2,1
36097,0,1,1,0,0,21,0
36099,3,1,1,3,1,18,0
36100,0,1,0,2,1,12,0
36101,3,0,1,0,0,4,0
36123,0,2,1,3,0,5,0
36137,3,0,2,2,1,17,0
36138,3,1,1,3,1,4,1
36139,3,1,1,1,0,17,1
36140,3,0,2,0,0,4,1
36141,0,1,1,0,0,4,1
36142,10,2,1,1,1,15,0
36146,7,0,1,0,0,25,0
36150,0,1,4,0,1,17,0
36152,7,1,1,3,1,6,0
36156,0,0,1,0,1,19,1
36161,0,2,1,1,0,15,0
36180,0,0,1,3,1,15,0
36240,3,0,1,3,1,26,0
36242,10,0,1,0,1,18,0
36243,5,1,1,0,0,13,0
36245,0,0,4,2,0,12,0
36258,2,1,1,3,1,18,0
36270,0,0,4,3,1,22,0
36281,11,2,2,2,0,13,0
36294,0,2,3,3,1,15,0
36299,7,1,1,1,0,13,0
36303,11,1,1,3,0,15,0
36306,3,2,1,1,1,12,1
36307,0,0,2,2,1,9,0
36308,10,2,1,0,0,7,0
36311,3,0,2,2,0,8,0
36323,2,2,0,3,1,17,0
36334,0,1,3,0,0,15,0
36335,7,1,1,0,1,18,1
36338,2,1,1,3,0,18,0
36343,7,1,0,0,1,18,0
36387,0,2,1,1,0,15,1
36400,11,1,1,3,1,15,0
36402,0,2,1,3,1,15,0
36404,0,0,1,2,1,15,0
36406,7,2,1,0,1,6,0
36416,10,1,0,0,1,17,1
36419,0,1,0,2,1,7,0
36427,3,1,1,3,1,17,0
36441,0,1,4,2,0,12,0
36442,0,1,1,0,1,20,0
36445,2,0,1,1,0,15,0
36455,10,1,1,0,1,23,0
36470,9,0,1,3,1,12,0
36499,0,0,1,0,1,17,1
36513,3,1,1,1,0,18,0
36515,7,1,1,2,1,8,0
36518,0,0,0,0,1,18,0
36519,11,2,1,3,1,13,0
36520,3,0,1,0,0,17,1
36525,0,0,1,3,0,5,1
36528,0,2,0,3,1,18,0
36554,0,2,1,3,0,4,0
36555,3,2,1,0,1,12,0
36556,5,1,1,3,0,17,1
36558,10,0,1,0,1,18,0
36559,0,2,1,1,0,22,1
36564,3,2,1,3,0,17,0
36609,0,2,0,0,1,16,0
36615,2,0,3,3,0,4,0
36616,3,1,1,1,0,22,0
36618,4,2,1,1,0,3,0
36619,9,0,1,3,0,4,0
36621,7,2,2,2,1,9,0
36622,2,1,1,3,0,18,0
36646,0,1,4,0,1,11,0
36648,0,1,1,1,1,15,1
36649,7,0,1,0,1,4,0
36654,2,2,0,0,0,22,0
36655,7,0,1,2,1,14,0
36662,7,0,1,1,1,15,0
36663,3,0,1,3,1,12,1
36682,0,1,0,3,0,18,0
36683,3,0,1,3,1,18,0
36684,11,1,1,0,1,15,0
36686,0,1,1,3,1,23,0
36687,10,0,4,2,1,7,0
36688,10,0,1,1,1,5,1
36696,0,2,1,1,1,18,0
36704,0,0,1,3,1,15,1
36725,5,0,1,0,0,17,0
36747,0,0,1,3,0,4,0
36757,5,2,1,0,0,8,0
36760,0,2,2,2,0,22,0
36762,0,1,1,3,1,17,0
36763,1,1,1,0,0,18,0
36771,0,2,1,1,1,17,1
36773,7,0,2,1,0,5,0
36776,3,0,1,3,0,18,0
36782,7,1,1,0,0,24,0
36784,0,2,0,3,1,18,0
36786,10,1,0,0,1,25,0
36788,5,2,0,2,0,8,0
36789,0,2,2,2,1,12,0
36791,3,1,2,0,0,17,0
36795,10,2,1,3,0,15,0
36799,3,0,1,1,0,12,1
36800,3,2,1,0,1,13,0
36806,0,0,1,3,1,12,0
36807,10,1,1,3,0,18,0
36813,7,0,1,1,1,15,0
36816,10,0,1,3,1,14,0
36817,7,1,1,3,1,18,0
36818,3,2,1,0,0,17,0
36821,1,1,1,0,0,17,0
36847,3,2,1,1,1,6,0
36849,0,1,2,3,1,12,0
36850,10,1,1,0,0,17,0
36857,0,0,4,2,0,15,0
36866,0,2,1,1,0,15,0
36868,0,0,1,3,0,21,1
