,PrimaryColor,BreedCategory,IntakeStatus,PetAgeCategory,Sex,TopBreed,BinaryOutcome
3861,9,1,2,0,1,12,0
3867,0,2,2,3,0,17,0
3871,10,1,1,3,0,18,0
3910,0,0,2,2,1,5,0
3912,7,0,1,0,0,15,0
3913,0,1,1,3,0,12,0
3934,3,0,1,0,1,17,1
3953,7,1,1,3,1,17,1
3954,2,2,0,3,1,0,0
4017,3,1,1,0,0,17,0
4032,0,2,3,3,0,15,0
4037,0,1,1,2,1,7,0
4038,0,2,1,3,1,22,1
4049,0,0,2,2,0,15,0
4063,0,1,0,3,0,17,0
4064,6,0,1,3,1,12,0
4072,0,0,4,1,1,22,0
4076,10,1,2,0,1,14,0
4078,10,0,0,0,0,25,0
4105,7,2,1,0,1,17,1
4138,10,2,1,3,0,17,0
4143,0,0,1,0,0,15,0
4144,0,1,1,2,1,17,0
4145,7,0,1,3,0,17,1
4213,3,1,0,0,1,17,0
4233,2,0,1,1,1,18,0
4237,3,1,1,0,1,18,0
4244,10,1,1,3,1,17,1
4246,0,1,4,0,0,17,0
4251,3,1,1,0,1,9,1
4260,0,0,1,3,1,17,1
4264,11,2,1,0,0,15,0
4269,11,2,1,2,1,18,0
4306,10,0,0,0,0,12,0
4359,7,2,1,1,0,17,1
4374,10,0,1,1,0,18,0
4377,3,2,1,0,1,7,1
4414,3,0,4,0,1,5,0
4433,10,1,2,0,0,18,0
4437,7,2,1,0,1,17,0
4438,2,2,1,3,1,17,0
4440,0,2,1,3,1,15,0
4441,0,1,2,2,1,15,0
4442,0,1,4,2,0,12,0
4466,11,1,1,0,1,15,1
4469,3,1,1,3,1,15,0
4478,7,0,2,2,0,15,0
4480,7,2,1,3,1,17,0
4515,9,0,4,2,0,14,0
4518,0,1,1,0,1,16,0
4550,0,2,2,2,1,7,0
4554,0,0,3,1,1,12,0
4556,10,1,1,3,1,18,0
4564,0,0,2,2,0,7,0
4568,0,2,1,0,0,12,0
4571,3,1,0,3,1,18,0
4572,9,1,1,0,1,4,1
4576,3,0,1,3,0,3,1
4601,6,1,2,2,0,12,0
4608,0,1,2,0,0,17,0
4609,10,1,1,3,1,7,0
4610,7,0,1,0,0,26,0
4614,1,0,2,2,0,12,1
4663,10,2,1,3,0,12,0
4680,9,1,1,0,1,4,0
4707,10,0,1,3,0,17,0
4709,0,1,2,0,0,26,0
4713,3,0,1,1,1,18,0
4754,1,1,1,0,0,2,1
4755,0,0,1,2,0,15,0
4756,7,0,1,0,0,17,1
4771,10,0,1,3,1,4,0
4819,10,0,4,3,0,14,0
4820,0,2,1,1,0,22,0
4855,1,1,2,2,1,23,0
4860,0,0,0,0,1,15,0
4871,11,1,1,2,1,13,0
4880,0,0,0,0,1,15,0
4882,10,1,4,0,0,18,0
4890,0,1,0,0,1,16,0
4977,7,1,1,1,0,18,0
4988,2,0,1,3,0,15,0
4990,0,1,1,0,0,12,0
4994,7,1,1,0,0,18,0
4996,1,1,1,3,0,18,0
5000,1,1,4,0,1,18,0
5028,3,0,1,0,0,12,0
5029,0,0,0,1,0,15,1
5059,3,2,1,3,1,7,0
5065,5,2,1,1,1,17,0
5074,0,0,1,0,0,4,0
5080,9,1,2,2,1,17,0
5097,3,2,1,3,0,5,0
5098,1,1,1,0,1,17,0
5100,10,1,1,0,1,17,1
5103,2,0,1,1,1,12,1
5106,0,0,1,0,0,5,0
5108,11,1,1,0,1,15,0
5110,10,1,0,0,1,18,0
5133,0,1,1,3,1,7,0
5138,3,2,2,2,0,4,0
5158,10,0,1,0,1,17,1
5159,0,0,1,0,0,17,1
5169,0,1,1,3,1,22,1
5174,7,1,1,3,0,18,0
5192,11,1,1,0,1,13,0
5196,3,1,1,1,0,18,0
5199,0,0,4,0,1,4,0
5200,5,0,4,0,0,7,0
5202,0,1,1,3,0,18,0
5203,5,1,1,3,1,18,0
5219,5,0,1,1,1,18,0
5244,10,1,2,0,1,18,0
5256,0,1,4,1,1,22,0
5285,11,2,1,1,0,12,0
5336,3,0,1,2,0,17,1
5358,5,1,1,3,1,18,0
5359,3,0,0,3,1,15,0
5361,0,1,1,0,1,17,1
5369,0,2,1,0,0,12,0
5385,5,2,2,2,0,17,0
5398,0,1,1,0,0,12,1
5403,3,1,3,1,0,6,0
5471,3,1,1,1,1,18,0
5480,3,0,4,3,1,6,0
5481,5,1,2,2,1,18,0
5485,5,1,1,2,1,8,0
5506,3,0,1,1,1,18,0
5510,0,0,0,0,1,22,0
5516,3,1,1,0,1,15,0
5518,3,1,1,3,0,17,0
5525,10,0,1,3,1,17,0
5567,3,0,4,0,1,18,0
5621,5,1,1,3,0,17,0
5659,10,1,1,0,1,17,0
5675,0,0,1,0,0,12,0
5690,3,1,1,1,0,15,1
5779,1,1,1,0,0,17,0
5791,0,1,1,2,0,25,0
5795,3,0,1,3,0,15,0
5799,4,1,1,0,1,2,0
5801,10,1,1,0,1,10,0
5802,0,2,0,2,1,8,0
5804,9,0,4,2,0,17,0
5805,9,1,2,2,0,4,0
5808,3,0,1,1,1,6,0
5812,3,2,1,0,0,12,0
5813,0,2,2,2,0,5,0
5815,9,1,1,0,1,4,1
5819,10,0,1,3,0,17,0
5823,0,1,1,0,1,12,0
5842,0,1,2,3,0,25,0
5930,1,2,2,2,0,17,0
5937,0,1,4,2,0,17,0
5952,10,1,2,2,0,7,0
5957,3,1,0,3,0,9,0
5960,0,1,1,3,1,22,1
5961,1,0,1,1,1,17,1
5968,9,0,1,0,1,4,0
5969,0,0,1,3,1,12,0
5998,3,1,2,0,1,15,0
6006,0,1,1,3,1,16,1
6007,2,1,1,0,1,18,0
6009,0,2,0,0,0,8,0
6011,10,0,1,3,1,18,0
6012,1,1,2,0,1,24,0
