,PrimaryColor,PrimaryBreed,IntakeInternalStatus,ReproductiveStatusAtIntake,BreedCategory,Pet_age_category,BinaryOutcome,Sex
1783,TRICOLOR,BEAGLE,NORMAL,ALTERED,Mix,Adult,Take,Male
1785,BUFF,AMERICAN STAFFORDSHIRE TERRIER,AGGRESSIVE,FERTILE,Pure,Adult,Deny,Male
1803,BLACK,SCHNAUZER - MINIATURE,NORMAL,ALTERED,Two,Adult,Take,Female
1807,BLACK,PIT BULL TERRIER,INJURED,FERTILE,Pure,Young,Deny,Male
1837,TAN,LABRADOR RETRIEVER,AGED,FERTILE,Mix,Senior,Deny,Female
1871,BLACK,LABRADOR RETRIEVER,NORMAL,ALTERED,Pure,Young,Take,Female
1886,BROWN,GREAT DANE,NORMAL,FERTILE,Pure,Senior,Deny,Female
1935,BLACK,CHOW CHOW,FEARFUL,FERTILE,Mix,Young,Deny,Female
1968,CHOCOLATE,LABRADOR RETRIEVER,NORMAL,FERTILE,Pure,Young,Deny,Male
1973,BROWN,PIT BULL TERRIER,DEAD,FERTILE,Two,Senior,Deny,Female
2013,BROWN,LABRADOR RETRIEVER,NORMAL,FERTILE,Pure,Young,Deny,Male
2043,BLACK,AUSTRALIAN SHEPHERD,NORMAL,ALTERED,Mix,Baby,Take,Male
2056,BROWN,GERMAN SHEPHERD DOG,NORMAL,FERTILE,Mix,Young,Deny,Male
2066,GRAY,WEIMARANER,NORMAL,ALTERED,Pure,Adult,Deny,Female
2095,TRICOLOR,BEAGLE,NORMAL,ALTERED,Mix,Baby,Take,Male
2096,BLACK,RAT TERRIER,NORMAL,ALTERED,Two,Young,Deny,Male
2098,TAN,GERMAN SHEPHERD DOG,NORMAL,UNKNOWN,Mix,Adult,Deny,Male
2103,BLACK,ROTTWEILER,AGED,FERTILE,Pure,Senior,Deny,Male
2143,GRAY,DOBERMAN PINSCHER,NORMAL,ALTERED,Pure,Adult,Deny,Female
2184,BLACK,PIT BULL TERRIER,DEAD,FERTILE,Pure,Young,Deny,Male
2216,WHITE,JACK RUSS TER,NORMAL,FERTILE,Two,Baby,Deny,Female
2227,BLACK,ROTTWEILER,DEAD,FERTILE,Pure,Young,Deny,Male
2235,TRICOLOR,BEAGLE,NORMAL,ALTERED,Pure,Baby,Take,Female
2252,BROWN,MASTIFF,NORMAL,FERTILE,Two,Adult,Deny,Male
2259,BLACK,PIT BULL TERRIER,EMACIATED,FERTILE,Pure,Baby,Deny,Male
2320,BLACK,SHIH TZU,NORMAL,ALTERED,Pure,Young,Take,Female
2323,TRICOLOR,SIBERIAN HUSKY,FEARFUL,ALTERED,Mix,Young,Deny,Female
2363,BLACK,AMERICAN PIT BULL TERRIER,NORMAL,FERTILE,Pure,Baby,Deny,Female
2370,CREAM,FINNISH SPITZ,NORMAL,ALTERED,Mix,Adult,Take,Male
2409,BROWN,ROTTWEILER,AGED,FERTILE,Pure,Senior,Deny,Male
2414,BLACK,GERMAN SHEPHERD DOG,FEARFUL,FERTILE,Two,Adult,Deny,Female
2456,BUFF,LABRADOR RETRIEVER,NORMAL,FERTILE,Two,Senior,Deny,Female
2492,BROWN BRINDLE,BOXER,AGGRESSIVE,ALTERED,Mix,Young,Deny,Male
2498,BROWN,BOXER,NORMAL,FERTILE,Mix,Young,Deny,Male
2541,TRICOLOR,PARSON (JACK) RUSSELL TERRIER,AGED,ALTERED,Two,Senior,Deny,Female
