,PrimaryColor,PrimaryBreed,IntakeInternalStatus,ReproductiveStatusAtIntake,BreedCategory,Pet_age_category,BinaryOutcome,Sex
39294,BROWN,POMERANIAN,NORMAL,FERTILE,Pure,Senior,Deny,Female
39297,BROWN,JACK RUSS TER,NORMAL,ALTERED,Pure,Adult,Deny,Male
39301,WHITE,SHIH TZU,NORMAL,FERTILE,Pure,Adult,Deny,Female
39306,BLACK,LABRADOR RETRIEVER,AGED,FERTILE,Mix,Senior,Deny,Male
39309,WHITE,GREAT PYRENEES,NORMAL,ALTERED,Mix,Young,Take,Female
39313,TRICOLOR,BEAGLE,NORMAL,FERTILE,Pure,Young,Deny,Male
39317,FAWN,BOXER,AGED,ALTERED,Pure,Senior,Deny,Male
39328,WHITE,AMERICAN ESKIMO,NORMAL,ALTERED,Two,Adult,Deny,Female
39333,BLACK,AUSTRALIAN SHEPHERD,NORMAL,ALTERED,Mix,Adult,Take,Male
39335,RED,BEAGLE,NORMAL,ALTERED,Pure,Young,Take,Female
39337,RED,CHOW CHOW,AGED,FERTILE,Pure,Senior,Deny,Male
39338,TAN,LABRADOR RETRIEVER,NORMAL,FERTILE,Mix,Baby,Deny,Female
39340,BLACK,PIT BULL TERRIER,AGGRESSIVE,ALTERED,Two,Adult,Deny,Male
39341,BROWN,DACHSHUND - LONGHAIRED,NORMAL,ALTERED,Pure,Adult,Take,Male
39363,BLUE,PIT BULL TERRIER,NURSING,FERTILE,Pure,,Deny,Male
39379,TAN,PIT BULL TERRIER,NORMAL,FERTILE,Pure,Young,Deny,Female
39384,BLACK,CHOW CHOW,NORMAL,ALTERED,Pure,Young,Deny,Female
39385,BLACK,GERMAN SHEPHERD DOG,NORMAL,ALTERED,Pure,Baby,Take,Female
39395,BLACK,LABRADOR RETRIEVER,FEARFUL,FERTILE,Two,Young,Deny,Female
39396,BLACK,DOBERMAN PINSCHER,NORMAL,ALTERED,Two,Young,Take,Female
39399,BROWN,CHOW CHOW,NORMAL,FERTILE,Mix,Baby,Deny,Male
39408,BLUE MERLE,AUSTRALIAN CATTLE DOG,NORMAL,ALTERED,Two,Young,Take,Male
39412,BLACK,AKITA,EMACIATED,FERTILE,Pure,Adult,Deny,Male
39417,BROWN,PETIT BASSET GRIFFON VENDEEN,NORMAL,ALTERED,Mix,Adult,Take,Female
39420,BROWN,GERMAN SHEPHERD DOG,NURSING,UNKNOWN,Mix,Baby,Deny,Male
39424,TRICOLOR,GERMAN SHEPHERD DOG,NORMAL,ALTERED,Mix,Baby,Take,Male
39425,WHITE,PIT BULL TERRIER,FEARFUL,FERTILE,Pure,Young,Deny,Male
39427,WHITE,SALUKI,NORMAL,ALTERED,Two,Young,Deny,Female
39428,BLACK,BEAGLE,AGGRESSIVE,FERTILE,Two,Young,Deny,Male
39431,BLACK,BEAGLE,PREGNANT,FERTILE,Pure,Adult,Deny,Female
39457,TAN,PUG,SICK,FERTILE,Pure,Senior,Deny,Female
39458,WHITE,GERMAN SHEPHERD DOG,NORMAL,ALTERED,Pure,Adult,Deny,Female
39460,BLACK,ROTTWEILER,NORMAL,FERTILE,Pure,Adult,Deny,Male
39461,BROWN,CHIHUAHUA - SMOOTH COATED,SICK,ALTERED,Pure,Senior,Deny,Female
39462,BLACK,UNKNOWN,AGED,ALTERED,Two,Senior,Deny,Female
39466,BLACK,ROTTWEILER,SICK,FERTILE,Pure,Adult,Deny,Female
39467,BLACK,ALASKAN MALAMUTE,NORMAL,ALTERED,Two,Adult,Deny,Male
39469,BLACK BRINDLE,PIT BULL TERRIER,NURSING,FERTILE,Pure,,Deny,Male
39472,BROWN,LABRADOR RETRIEVER,FEARFUL,FERTILE,Pure,Young,Deny,Male
39480,BROWN,GERMAN SHEPHERD DOG,NORMAL,FERTILE,Mix,Young,Deny,Female
39506,BROWN BRINDLE,PIT BULL TERRIER,NORMAL,ALTERED,Mix,Young,Deny,Female
39507,TRICOLOR,BEAGLE,NORMAL,FERTILE,Pure,Baby,Deny,Male
39508,BROWN,PIT BULL TERRIER,NORMAL,ALTERED,Two,Young,Deny,Male
39510,BLACK,DOBERMAN PINSCHER,FEARFUL,ALTERED,Pure,Young,Deny,Male
39512,BLACK,PIT BULL TERRIER,NORMAL,FERTILE,Pure,Young,Deny,Male
39513,GRAY,POODLE - STANDARD,SICK,FERTILE,Pure,Adult,Deny,Female
39517,GRAY,SCHNAUZER - MINIATURE,AGED,FERTILE,Mix,Senior,Deny,Female
39518,BLACK,CHIHUAHUA - SMOOTH COATED,NORMAL,ALTERED,Pure,Young,Deny,Female
39519,BLACK,GERMAN SHEPHERD DOG,NORMAL,FERTILE,Mix,Young,Deny,Male
39520,WHITE,JACK RUSS TER,NORMAL,ALTERED,Two,Young,Take,Male
39528,BROWN BRINDLE,PIT BULL TERRIER,NORMAL,FERTILE,Pure,Baby,Deny,Male
39532,BROWN,CHIHUAHUA - SMOOTH COATED,NORMAL,ALTERED,Pure,Young,Take,Male
39539,TAN,CHOW CHOW,AGGRESSIVE,FERTILE,Two,Baby,Deny,Male
39561,TRICOLOR,GERMAN SHEPHERD DOG,NORMAL,FERTILE,Mix,Baby,Deny,Male
39563,BLACK,SHETLAND SHEEPDOG,NORMAL,FERTILE,Two,Young,Deny,Female
39564,WHITE,PIT BULL TERRIER,NORMAL,FERTILE,Mix,Young,Deny,Female
39567,BLACK,LABRADOR RETRIEVER,NORMAL,FERTILE,Mix,Baby,Take,Male
39570,GRAY,PIT BULL TERRIER,SICK,FERTILE,Pure,Baby,Deny,Male
39572,WHITE,PIT BULL TERRIER,AGGRESSIVE,FERTILE,Two,Baby,Deny,Male
39575,TAN,GERMAN SHEPHERD DOG,NORMAL,FERTILE,Two,Adult,Deny,Female
39577,BLACK,LABRADOR RETRIEVER,AGED,ALTERED,Pure,Senior,Deny,Female
39579,BLACK,LABRADOR RETRIEVER,NORMAL,ALTERED,Pure,Adult,Take,Female
39580,BLACK,BOSTON TERRIER,NORMAL,ALTERED,Mix,Adult,Take,Female
39583,TAN,COLLIE - ROUGH,NORMAL,ALTERED,Mix,Young,Deny,Female
39585,WHITE,ENGLISH BULLDOG,NORMAL,FERTILE,Mix,Adult,Deny,Female
39587,WHITE,BOXER,DEAD,FERTILE,Mix,Young,Deny,Male
39588,WHITE,BEAGLE,AGED,ALTERED,Pure,Senior,Deny,Male
39589,TAN,AMERICAN STAFFORDSHIRE TERRIER,NORMAL,ALTERED,Pure,Senior,Deny,Female
39590,BROWN,COCKER SPANIEL,NORMAL,ALTERED,Pure,Senior,Deny,Male
39591,TAN,COLLIE - ROUGH,NORMAL,ALTERED,Mix,Senior,Deny,Female
39595,BLACK,GERMAN SHEPHERD DOG,NORMAL,FERTILE,Mix,Senior,Deny,Male
39619,BUFF,AMERICAN PIT BULL TERRIER,INJURED,FERTILE,Mix,Young,Deny,Male
39621,TAN,FOX TERRIER - WIREHAIRED,NORMAL,FERTILE,Two,Young,Deny,Male
39623,BROWN,GERMAN SHEPHERD DOG,NORMAL,FERTILE,Mix,Senior,Deny,Female
39624,WHITE,POINTER,NORMAL,FERTILE,Mix,Young,Deny,Male
39627,RED,FINNISH SPITZ,NORMAL,ALTERED,Mix,Adult,Take,Male
39631,WHITE,PIT BULL TERRIER,AGGRESSIVE,ALTERED,Pure,Young,Deny,Female
39632,WHITE,LABRADOR RETRIEVER,NORMAL,FERTILE,Pure,Baby,Take,Male
39634,WHITE,GERMAN SHEPHERD DOG,NORMAL,FERTILE,Mix,Baby,Deny,Female
39638,BLACK BRINDLE,PIT BULL TERRIER,NORMAL,FERTILE,Two,Adult,Deny,Male
39641,BROWN BRINDLE,SHETLAND SHEEPDOG,NORMAL,ALTERED,Two,Baby,Take,Female
39642,BROWN BRINDLE,PIT BULL TERRIER,AGGRESSIVE,FERTILE,Two,Young,Deny,Male
39644,BLACK,CHOW CHOW,NORMAL,ALTERED,Mix,Young,Take,Male
39646,RED,BORDER COLLIE,NORMAL,ALTERED,Pure,Young,Deny,Male
39647,BLACK BRINDLE,PIT BULL TERRIER,NORMAL,ALTERED,Pure,Adult,Deny,Female
39650,BLACK,LABRADOR RETRIEVER,NORMAL,FERTILE,Pure,Baby,Deny,Female
39692,BLACK,LABRADOR RETRIEVER,NORMAL,ALTERED,Two,Young,Take,Female
39741,BROWN,LHASA APSO,FEARFUL,ALTERED,Pure,Young,Deny,Male
39744,WHITE,LABRADOR RETRIEVER,NORMAL,ALTERED,Two,Baby,Take,Female
39746,RED,DACHSHUND,AGED,ALTERED,Pure,Senior,Deny,Female
39747,BLACK,ROTTWEILER,SICK,FERTILE,Two,Senior,Deny,Female
39749,RED,BOXER,NORMAL,ALTERED,Pure,Baby,Take,Female
39750,BROWN,SHIH TZU,NORMAL,FERTILE,Pure,Adult,Deny,Male
39753,BLACK,BORDER COLLIE,NORMAL,ALTERED,Mix,Adult,Deny,Male
39758,WHITE,RAT TERRIER,AGED,FERTILE,Pure,Senior,Deny,Male
39760,BROWN,PIT BULL TERRIER,NORMAL,ALTERED,Pure,Young,Deny,Female
39761,BUFF,COCKER SPANIEL,AGED,ALTERED,Pure,Senior,Deny,Male
39770,WHITE,CHIHUAHUA - SMOOTH COATED,NORMAL,ALTERED,Mix,Baby,Take,Male
39781,BLACK,DACHSHUND,NORMAL,FERTILE,Two,Baby,Deny,Male
39786,TAN,PIT BULL TERRIER,NORMAL,FERTILE,Mix,Adult,Deny,Male
39789,BLACK,LABRADOR RETRIEVER,NORMAL,ALTERED,Mix,Baby,Take,Male
39791,GRAY,SCHNAUZER - MINIATURE,NORMAL,ALTERED,Pure,Senior,Deny,Male
39802,BLACK,BLACK AND TAN COONOUND,NORMAL,ALTERED,Two,Adult,Deny,Female
39803,BLACK,ROTTWEILER,NORMAL,FERTILE,Two,Adult,Deny,Male
39805,TAN,GERMAN SHEPHERD DOG,AGGRESSIVE,FERTILE,Mix,Adult,Deny,Male
39807,BLACK,BORDER COLLIE,AGGRESSIVE,ALTERED,Pure,Adult,Deny,Female
39808,TAN,PIT BULL TERRIER,NORMAL,ALTERED,Pure,Adult,Deny,Female
39813,BLACK,BORDER COLLIE,NORMAL,ALTERED,Mix,Young,Deny,Female
39840,BLACK,LABRADOR RETRIEVER,NORMAL,FERTILE,Mix,Adult,Deny,Female
39842,BLACK,LABRADOR RETRIEVER,NORMAL,ALTERED,Mix,Baby,Take,Male
39850,WHITE,SHIH TZU,AGED,ALTERED,Pure,Senior,Deny,Male
39852,BLACK,DOBERMAN PINSCHER,EMACIATED,FERTILE,Pure,Adult,Deny,Female
39857,BLACK,LABRADOR RETRIEVER,NORMAL,FERTILE,Pure,Baby,Deny,Female
39858,BLACK,LABRADOR RETRIEVER,FEARFUL,FERTILE,Mix,Adult,Deny,Female
39859,BROWN,GERMAN SHEPHERD DOG,NORMAL,ALTERED,Mix,Young,Take,Female
39861,YELLOW,LABRADOR RETRIEVER,AGED,ALTERED,Pure,Senior,Deny,Male
39862,BROWN BRINDLE,PIT BULL TERRIER,NORMAL,FERTILE,Mix,Baby,Deny,Male
39864,BLACK,GERMAN SHEPHERD DOG,NORMAL,FERTILE,Mix,Baby,Take,Male
39878,SILVER,YORKSHIRE TERRIER,NORMAL,ALTERED,Pure,Adult,Take,Male
39901,BROWN,CHIHUAHUA - SMOOTH COATED,NORMAL,ALTERED,Pure,Young,Take,Female
39931,WHITE,SHETLAND SHEEPDOG,FEARFUL,FERTILE,Two,Adult,Deny,Male
39934,BROWN,POMERANIAN,FEARFUL,FERTILE,Two,Adult,Deny,Female
39938,BLACK,BEAGLE,NORMAL,ALTERED,Mix,Adult,Deny,Female
39950,BUFF,LABRADOR RETRIEVER,NORMAL,FERTILE,Pure,Adult,Deny,Male
39963,BROWN,DACHSHUND,SICK,FERTILE,Pure,Senior,Deny,Female
39964,TAN,LABRADOR RETRIEVER,NORMAL,FERTILE,Mix,Baby,Deny,Male
39972,BROWN,GOLDEN RETRIEVER,FEARFUL,FERTILE,Pure,Adult,Deny,Female
39973,BROWN,PIT BULL TERRIER,AGGRESSIVE,FERTILE,Mix,Adult,Deny,Male
39978,WHITE,CHIHUAHUA - SMOOTH COATED,NORMAL,FERTILE,Pure,Young,Deny,Male
40009,WHITE,AUSTRALIAN CATTLE DOG,NORMAL,ALTERED,Pure,Adult,Take,Male
40013,WHITE,CHIHUAHUA - SMOOTH COATED,INJURED,ALTERED,Mix,Senior,Deny,Female
40021,BROWN BRINDLE,PIT BULL TERRIER,NORMAL,FERTILE,Pure,Baby,Deny,Male
40027,TAN,AUSTRALIAN SHEPHERD,NORMAL,ALTERED,Two,Young,Take,Male
40031,TRICOLOR,AUSTRALIAN CATTLE DOG,NORMAL,ALTERED,Mix,Young,Deny,Female
40036,BLACK,LABRADOR RETRIEVER,AGED,ALTERED,Pure,Senior,Deny,Female
40039,CHOCOLATE,LABRADOR RETRIEVER,NORMAL,FERTILE,Two,Baby,Deny,Male
40041,BLACK,PIT BULL TERRIER,NURSING,UNKNOWN,Mix,,Deny,Male
40044,BLACK,SHIH TZU,SICK,FERTILE,Pure,Adult,Deny,Male
40048,BLACK,ROTTWEILER,NORMAL,FERTILE,Pure,Young,Deny,Male
40051,BLACK,CHIHUAHUA - SMOOTH COATED,NORMAL,ALTERED,Pure,Adult,Deny,Male
40052,BROWN,PIT BULL TERRIER,NORMAL,ALTERED,Pure,Adult,Deny,Male
40054,BLACK,CHIHUAHUA - SMOOTH COATED,NORMAL,ALTERED,Two,Young,Take,Female
40076,BLACK,GERMAN SHEPHERD DOG,SICK,ALTERED,Pure,Senior,Deny,Female
40079,BROWN,PIT BULL TERRIER,NORMAL,ALTERED,Pure,Adult,Take,Male
40083,BLACK,BEAGLE,NORMAL,FERTILE,Mix,Young,Deny,Male
40084,WHITE,DALMATIAN,NORMAL,FERTILE,Pure,,Take,Male
40087,BROWN,CHOW CHOW,NORMAL,ALTERED,Mix,Adult,Deny,Female
40090,BLACK,LABRADOR RETRIEVER,NORMAL,ALTERED,Mix,Young,Take,Female
40092,WHITE,ENGLISH POINTER,NORMAL,FERTILE,Mix,Adult,Deny,Female
40112,BROWN,CHOW CHOW,FEARFUL,FERTILE,Mix,Young,Deny,Male
40113,TRICOLOR,COLLIE - SMOOTH,NORMAL,ALTERED,Two,Adult,Take,Male
40114,BLACK,COCKER SPANIEL,NORMAL,ALTERED,Two,Young,Take,Female
40118,BLACK,PIT BULL TERRIER,NORMAL,ALTERED,Pure,Adult,Deny,Male
40120,BLUE,AMERICAN PIT BULL TERRIER,NORMAL,FERTILE,Pure,Young,Deny,Male
40124,GRAY,POODLE - MINIATURE,SICK,FERTILE,Pure,Senior,Deny,Female
40126,BLACK,ROTTWEILER,NORMAL,ALTERED,Pure,Adult,Deny,Female
40128,FAWN,BOXER,NORMAL,ALTERED,Pure,Young,Deny,Male
40180,BLACK,LABRADOR RETRIEVER,NORMAL,ALTERED,Mix,Adult,Deny,Female
40188,BLACK,CHOW CHOW,NORMAL,FERTILE,Pure,Young,Deny,Female
40190,GOLD,GERMAN SHEPHERD DOG,NORMAL,FERTILE,Mix,Baby,Deny,Male
40198,BLACK,SIBERIAN HUSKY,NORMAL,ALTERED,Pure,Adult,Deny,Female
40199,BLACK,LABRADOR RETRIEVER,SICK,FERTILE,Two,Baby,Deny,Female
40200,CHOCOLATE,LABRADOR RETRIEVER,NORMAL,ALTERED,Pure,Senior,Take,Female
40203,FAWN,PIT BULL TERRIER,AGGRESSIVE,ALTERED,Mix,Adult,Deny,Male
40219,BLACK,MINIATURE PINSCHER,NORMAL,ALTERED,Pure,Adult,Take,Male
40226,RED,BLOODHOUND,NORMAL,FERTILE,Mix,Young,Deny,Male
40229,TAN,AMERICAN PIT BULL TERRIER,SICK,FERTILE,Pure,Adult,Deny,Male
40241,TRICOLOR,BEAGLE,NORMAL,FERTILE,Pure,Young,Deny,Female
40259,TAN,LABRADOR RETRIEVER,FEARFUL,FERTILE,Pure,Adult,Deny,Female
40284,BROWN BRINDLE,PIT BULL TERRIER,AGGRESSIVE,FERTILE,Two,Adult,Deny,Male
40299,TAN,OTTERHOUND,NORMAL,ALTERED,Pure,Baby,Take,Female
40300,BLACK,SCHNAUZER - MINIATURE,NORMAL,ALTERED,Mix,Young,Take,Male
40306,CREAM,AUSTRALIAN SHEPHERD,NORMAL,FERTILE,Mix,Young,Deny,Female
40322,TAN,BEAGLE,NORMAL,FERTILE,Two,Young,Deny,Male
40323,BLACK,GERMAN SHEPHERD DOG,DEAD,FERTILE,Pure,Senior,Deny,Female
40329,GRAY,PIT BULL TERRIER,INJURED,FERTILE,Pure,Young,Deny,Male
40331,BROWN,AMERICAN STAFFORDSHIRE TERRIER,NORMAL,ALTERED,Pure,Adult,Deny,Female
40338,TAN,MINIATURE PINSCHER,NORMAL,ALTERED,Two,Young,Take,Male
40345,BLACK,LABRADOR RETRIEVER,SICK,ALTERED,Pure,Adult,Deny,Female
40357,BROWN,GERMAN SHEPHERD DOG,AGED,FERTILE,Mix,Senior,Deny,Female
40358,BROWN,BRITTANY,NORMAL,FERTILE,Pure,Senior,Deny,Female
40362,YELLOW,GERMAN SHEPHERD DOG,NORMAL,FERTILE,Mix,Adult,Deny,Female
40363,BLACK,LABRADOR RETRIEVER,NORMAL,FERTILE,Mix,Young,Deny,Female
40368,BROWN,PIT BULL TERRIER,NORMAL,ALTERED,Pure,Adult,Deny,Male
40370,BROWN,PIT BULL TERRIER,NORMAL,ALTERED,Pure,Young,Deny,Male
40377,BUFF,COCKER SPANIEL,AGED,ALTERED,Pure,Senior,Deny,Male
40378,BLACK,ROTTWEILER,DEAD,ALTERED,Mix,Young,Deny,Female
40381,BLUE TIGER,PIT BULL TERRIER,PREGNANT,FERTILE,Mix,Adult,Deny,Female
40382,BROWN,CHOW CHOW,FEARFUL,FERTILE,Mix,Baby,Deny,Female
40394,BLACK,BLOODHOUND,NORMAL,FERTILE,Mix,Young,Deny,Male
40398,BLACK,DOBERMAN PINSCHER,FEARFUL,ALTERED,Two,Baby,Take,Female
40405,TRICOLOR,BEAGLE,NORMAL,FERTILE,Pure,Young,Deny,Male
40417,BROWN,CHOW CHOW,AGGRESSIVE,FERTILE,Pure,Senior,Deny,Male
40449,BROWN,LABRADOR RETRIEVER,NORMAL,FERTILE,Mix,Baby,Deny,Female
40450,BROWN,LABRADOR RETRIEVER,NORMAL,ALTERED,Mix,Young,Take,Male
40453,BLACK,BASSET HOUND,NORMAL,ALTERED,Two,,Take,Female
40455,WHITE,LHASA APSO,NORMAL,FERTILE,Pure,Young,Take,Male
40459,BLACK,PIT BULL TERRIER,AGED,FERTILE,Mix,Senior,Deny,Male
40461,BLACK,LABRADOR RETRIEVER,NORMAL,ALTERED,Pure,Young,Deny,Male
40462,BROWN,BOXER,NORMAL,FERTILE,Mix,Young,Deny,Female
40463,BLACK,WELSH CORGI - PEMBROKE,NORMAL,ALTERED,Two,Young,Deny,Male
40465,BLACK,COCKER SPANIEL,NORMAL,ALTERED,Mix,Young,Take,Male
40474,TAN,COLLIE - SMOOTH,FEARFUL,FERTILE,Two,Young,Deny,Female
40485,YELLOW,LABRADOR RETRIEVER,AGGRESSIVE,FERTILE,Pure,Adult,Deny,Male
40486,BLACK,LABRADOR RETRIEVER,NORMAL,ALTERED,Mix,Young,Take,Female
40490,BROWN,PIT BULL TERRIER,NORMAL,FERTILE,Pure,Young,Deny,Female
40493,BROWN,BOXER,NORMAL,ALTERED,Pure,Adult,Take,Female
40495,YELLOW,LABRADOR RETRIEVER,NORMAL,ALTERED,Pure,Young,Take,Female
40496,SABLE,GERMAN SHEPHERD DOG,SICK,ALTERED,Two,Senior,Deny,Female
40498,BLACK,CHIHUAHUA - SMOOTH COATED,INJURED,ALTERED,Pure,Adult,Take,Female
40501,BLACK,LABRADOR RETRIEVER,NORMAL,UNKNOWN,Mix,Baby,Deny,Male
40502,BLACK,FLAT-COATED RETRIEVER,FEARFUL,FERTILE,Mix,Young,Deny,Male
40503,BROWN,GERMAN SHEPHERD DOG,FEARFUL,FERTILE,Mix,Young,Deny,Female
40505,WHITE,PIT BULL TERRIER,FEARFUL,FERTILE,Pure,Adult,Deny,Male
40506,RED,CHOW CHOW,NORMAL,ALTERED,Two,Adult,Deny,Female
40509,BROWN,AMERICAN PIT BULL TERRIER,NORMAL,ALTERED,Pure,Young,Take,Female
40510,BLACK,SHIH TZU,AGED,FERTILE,Pure,Senior,Deny,Male
40511,TAN,SCOTTISH TERRIER,FEARFUL,FERTILE,Mix,Young,Deny,Male
40529,WHITE,CHIHUAHUA - SMOOTH COATED,NORMAL,ALTERED,Pure,Adult,Take,Male
40530,BROWN,GERMAN SHEPHERD DOG,NORMAL,ALTERED,Two,Young,Deny,Male
40582,BROWN,LABRADOR RETRIEVER,NORMAL,FERTILE,Mix,Baby,Deny,Female
40600,BLACK,BRITTANY,NORMAL,ALTERED,Pure,Senior,Deny,Male
40640,BLACK,POMERANIAN,NORMAL,ALTERED,Pure,Senior,Deny,Male
40654,BROWN,GERMAN SHEPHERD DOG,NORMAL,ALTERED,Mix,Baby,Take,Male
40659,TRICOLOR,FOX TERRIER - SMOOTH,INJURED,FERTILE,Pure,Adult,Deny,Male
40663,BROWN,PIT BULL TERRIER,DEAD,FERTILE,Pure,Adult,Deny,Female
40666,TAN,PIT BULL TERRIER,FEARFUL,ALTERED,Mix,Adult,Deny,Female
40669,TRICOLOR,BASSET HOUND,AGED,ALTERED,Pure,Senior,Deny,Female
40670,RED,REDBONE COONHOUND,NORMAL,ALTERED,Pure,Young,Take,Female
40674,BLACK,AMERICAN PIT BULL TERRIER,SICK,FERTILE,Mix,Senior,Deny,Female
40682,BLACK,BOXER,INJURED,ALTERED,Pure,Adult,Deny,Male
40683,BROWN BRINDLE,PIT BULL TERRIER,NORMAL,FERTILE,Mix,Young,Deny,Female
40689,RED,PIT BULL TERRIER,NORMAL,FERTILE,Pure,Young,Deny,Female
40692,BROWN,CHOW CHOW,AGED,FERTILE,Mix,Senior,Deny,Male
40693,WHITE,BOXER,INJURED,FERTILE,Mix,Young,Deny,Male
40700,RED,AMERICAN PIT BULL TERRIER,NORMAL,FERTILE,Pure,Adult,Deny,Female
40704,BLACK BRINDLE,PIT BULL TERRIER,NORMAL,ALTERED,Pure,Young,Deny,Male
40706,WHITE,PIT BULL TERRIER,NORMAL,ALTERED,Pure,Young,Deny,Male
40710,WHITE,PIT BULL TERRIER,NORMAL,FERTILE,Pure,Young,Deny,Male
40719,BROWN,AMERICAN PIT BULL TERRIER,DEAD,FERTILE,Pure,Young,Deny,Male
40743,BROWN,CHIHUAHUA - SMOOTH COATED,NORMAL,ALTERED,Pure,Baby,Take,Male
40748,TAN,BRUSSELS GRIFFON,NORMAL,ALTERED,Mix,Adult,Deny,Male
40750,BUFF,PIT BULL TERRIER,NORMAL,ALTERED,Pure,Young,Deny,Female
40753,BROWN,CHIHUAHUA - SMOOTH COATED,NORMAL,FERTILE,Mix,Adult,Deny,Female
40754,BLUE MERLE,AUSTRALIAN SHEPHERD,NORMAL,ALTERED,Mix,Young,Take,Female
40756,BROWN,GERMAN SHEPHERD DOG,AGGRESSIVE,FERTILE,Two,Young,Deny,Male
40757,BLACK,COCKER SPANIEL,AGED,FERTILE,Pure,Senior,Deny,Female
40768,BROWN,CHOW CHOW,NORMAL,ALTERED,Mix,Baby,Take,Male
40782,BLACK,PIT BULL TERRIER,NORMAL,ALTERED,Mix,Baby,Take,Female
40787,BROWN,GERMAN SHEPHERD DOG,NORMAL,FERTILE,Two,Young,Deny,Male
40796,RED,COCKER SPANIEL,NORMAL,ALTERED,Two,Young,Take,Female
40798,GRAY,SCHNAUZER - MINIATURE,AGED,ALTERED,Pure,Senior,Deny,Male
40800,TAN,SIBERIAN HUSKY,NURSING,UNKNOWN,Mix,,Deny,Male
40802,BLACK,CHOW CHOW,NORMAL,FERTILE,Mix,Young,Deny,Male
40803,WHITE,SIBERIAN HUSKY,NORMAL,ALTERED,Pure,Young,Deny,Female
40807,BROWN,PIT BULL TERRIER,NORMAL,FERTILE,Pure,Young,Deny,Male
40808,TAN,COLLIE - ROUGH,AGED,FERTILE,Two,Senior,Deny,Male
40810,BROWN BRINDLE,PIT BULL TERRIER,NORMAL,ALTERED,Pure,Adult,Deny,Female
40812,BLACK,LABRADOR RETRIEVER,AGGRESSIVE,FERTILE,Two,Adult,Deny,Male
40818,BLACK,SIBERIAN HUSKY,AGED,FERTILE,Mix,Senior,Deny,Female
40820,CREAM,CHIHUAHUA - SMOOTH COATED,NORMAL,ALTERED,Two,Young,Take,Female
40821,TRICOLOR,BASSET HOUND,NORMAL,FERTILE,Pure,Adult,Deny,Female
40827,BROWN,PIT BULL TERRIER,FEARFUL,FERTILE,Pure,Adult,Deny,Female
40832,RED,CHOW CHOW,AGED,FERTILE,Pure,Senior,Deny,Male
40835,BLACK,ROTTWEILER,NORMAL,ALTERED,Pure,Adult,Deny,Female
40839,BLACK,LABRADOR RETRIEVER,NORMAL,FERTILE,Two,Baby,Deny,Female
40841,BROWN BRINDLE,BOXER,NORMAL,ALTERED,Mix,Young,Take,Male
40845,WHITE,PIT BULL TERRIER,NORMAL,FERTILE,Pure,Young,Deny,Female
40846,CHOCOLATE,LABRADOR RETRIEVER,NORMAL,FERTILE,Pure,Young,Deny,Female
40850,BLACK,GOLDEN RETRIEVER,AGGRESSIVE,ALTERED,Two,Adult,Deny,Male
40871,BLACK,CHINESE SHARPEI,NORMAL,FERTILE,Pure,Young,Deny,Male
40872,WHITE,GERMAN SHEPHERD DOG,NORMAL,FERTILE,Mix,Baby,Take,Male
40875,BLACK,LABRADOR RETRIEVER,NORMAL,ALTERED,Mix,Young,Deny,Female
40877,GRAY,AUSTRALIAN SHEPHERD,SICK,ALTERED,Pure,Senior,Deny,Male
40878,BLACK,AMERICAN STAFFORDSHIRE TERRIER,NORMAL,ALTERED,Pure,Adult,Deny,Male
40882,BROWN,GERMAN SHEPHERD DOG,NORMAL,ALTERED,Mix,Senior,Deny,Female
40884,CHOCOLATE,PIT BULL TERRIER,NORMAL,FERTILE,Pure,Young,Deny,Male
40887,WHITE,DALMATIAN,NORMAL,ALTERED,Pure,Senior,Deny,Male
40888,BLACK,SCHNAUZER - MINIATURE,NORMAL,ALTERED,Two,Young,Take,Female
40929,BLACK,ROTTWEILER,NORMAL,FERTILE,Pure,Adult,Deny,Female
40935,WHITE,DOBERMAN PINSCHER,AGGRESSIVE,FERTILE,Pure,Senior,Deny,Male
40938,TAN,GERMAN SHEPHERD DOG,NORMAL,FERTILE,Mix,Baby,Deny,Male
40940,TAN,PIT BULL TERRIER,NORMAL,ALTERED,Pure,Adult,Deny,Female
40945,BLACK,LABRADOR RETRIEVER,OTHER,FERTILE,Mix,Adult,Deny,Male
40966,BROWN,BELGIAN MALINOIS,NORMAL,ALTERED,Mix,Young,Deny,Female
40969,BLACK,ROTTWEILER,OBESE,ALTERED,Pure,Senior,Deny,Female
40971,TAN,LABRADOR RETRIEVER,SICK,FERTILE,Two,Baby,Deny,Female
40973,TAN,GOLDEN RETRIEVER,NORMAL,FERTILE,Two,Baby,Deny,Female
40974,WHITE,PIT BULL TERRIER,AGGRESSIVE,FERTILE,Pure,Adult,Deny,Male
40977,TAN,LABRADOR RETRIEVER,NORMAL,ALTERED,Mix,Young,Take,Female
40983,BROWN,COCKER SPANIEL,NORMAL,ALTERED,Pure,Adult,Deny,Male
40992,TAN,GERMAN SHEPHERD DOG,NORMAL,UNKNOWN,Mix,Young,Deny,Male
40999,BROWN,MINIATURE PINSCHER,AGED,FERTILE,Pure,Senior,Deny,Male
41004,TAN,PIT BULL TERRIER,NORMAL,FERTILE,Pure,Young,Deny,Female
41006,BROWN,PIT BULL TERRIER,NORMAL,ALTERED,Pure,Young,Deny,Male
