PrimaryColor,PrimaryBreed,IntakeInternalStatus,IntakeAsilomarStatus,ReproductiveStatusAtIntake,OutcomeType,AgeInMonths,DurationInShelter,BreedCategory,Pet_age_category,Binary_outcome,Sex,pet_id
BROWN,CHOW CHOW,OTHER,HEALTHY,FERTILE,TRANSPORT,0.2,81.0,Mix,Baby,Deny,Male,45
WHITE,FRENCH BULLDOG,NORMAL,HEALTHY,ALTERED,ADOPTION,12.2,57.0,Pure,Young,Take,Female,46
BLACK,LABRADOR RETRIEVER,NORMAL,HEALTHY,ALTERED,RELEASED,36.5,0.0,Pure,Adult,Deny,Female,47
BLACK,LABRADOR RETRIEVER,NORMAL,HEALTHY,FERTILE,DIED,1.23,0.0,Mix,Baby,Deny,Male,48
BLACK,LABRADOR RETRIEVER,FEARFUL,HEALTHY,FERTILE,EUTH,24.13,-139.0,Mix,Adult,Deny,Female,49
WHITE,PIT BULL TERRIER,OTHER,HEALTHY,FERTILE,EUTH,19.0,-153.0,Pure,Young,Deny,Female,50
CREAM,FOX TERRIER - WIREHAIRED,DEAD,UNHEALTHY/UNTREATABLE,FERTILE,EUTH,206.97,0.0,Mix,Senior,Deny,Female,51
RED,SIBERIAN HUSKY,NORMAL,HEALTHY,ALTERED,TRANSPORT,15.2,1.0,Pure,Young,Deny,Male,52
TAN,POMERANIAN,NORMAL,HEALTHY,ALTERED,ADOPTION,11.7,43.0,Mix,Young,Take,Female,53
RED,PIT BULL TERRIER,AGGRESSIVE,UNHEALTHY/UNTREATABLE,FERTILE,EUTH,20.3,-130.0,Pure,Young,Deny,Male,54
BLACK,LABRADOR RETRIEVER,NORMAL,HEALTHY,FERTILE,DIED,2.03,9.0,Mix,Baby,Deny,Male,55
BROWN,PIT BULL TERRIER,FEARFUL,HEALTHY,FERTILE,EUTH,24.37,-147.0,Pure,Adult,Deny,Male,56
BLACK,PIT BULL TERRIER,OTHER,HEALTHY,ALTERED,EUTH,78.57,9.0,Pure,Adult,Deny,Male,57
BROWN,BOXER,NORMAL,HEALTHY,FERTILE,TRANSFER,6.1,155.0,Pure,Young,Deny,Male,58
BLACK,RAT TERRIER,SICK,HEALTHY,FERTILE,EUTH,12.17,0.0,Pure,Young,Deny,Male,59
BROWN,PIT BULL TERRIER,NORMAL,HEALTHY,FERTILE,TRANSFER,12.17,97.0,Pure,Young,Deny,Female,60
BROWN,PIT BULL TERRIER,NORMAL,HEALTHY,FERTILE,EUTH,12.17,4.0,Pure,Young,Deny,Male,61
YELLOW,LABRADOR RETRIEVER,AGED,UNHEALTHY/UNTREATABLE,FERTILE,EUTH,158.27,0.0,Mix,Senior,Deny,Female,62
BROWN,GERMAN SHEPHERD DOG,NORMAL,HEALTHY,ALTERED,ADOPTION,3.07,29.0,Two,Baby,Take,Male,63
WHITE,CHIHUAHUA - SMOOTH COATED,FEARFUL,HEALTHY,FERTILE,TRANSFER,24.37,92.0,Pure,Adult,Deny,Female,64
BROWN BRINDLE,GREAT DANE,NORMAL,HEALTHY,ALTERED,TRANSPORT,19.9,17.0,Two,Young,Deny,Male,65
BLACK,ROTTWEILER,NORMAL,HEALTHY,FERTILE,EUTH,30.4,0.0,Pure,Adult,Deny,Male,66
BLACK,POODLE - TOY,AGED,TREATABLE/MANAGEABLE,ALTERED,EUTH,179.93,0.0,Pure,Senior,Deny,Male,67
