Name,Breed,Color,Sex,Size,DateOfBirth,IntakeDate,OutcomeDate,DaysinShelter,IntakeType,OutcomeType
*TINA TURNER,CHOW CHOW,BLACK,Spayed,MED,11/1/2018,2/7/2019,07/13/2019,11,STRAY,ADOPTION
FELON,PIT BULL,BR BRINDLE/WHITE,Male,MED,02/24/2015,06/17/2017,06/24/2017,7,STRAY,RETURN TO OWNER
*DAISY,GERM SHEPHERD/MIX,TAN/BROWN,Spayed,MED,10/1/2019,9/1/2020,01/25/2020,16,STRAY,ADOPTION
FELON,PIT BULL,BR BRINDLE/WHITE,Male,MED,02/24/2015,01/21/2017,01/25/2017,4,CONFISCATE,RETURN TO OWNER
SHADOW,CHIHUAHUA SH,BLACK,Male,TOY,1/12/2012,3/1/2020,01/25/2020,22,STRAY,TRANSFER
*SASSY,PARSON RUSS TER/MIX,TRICOLOR,Spayed,TOY,07/14/2019,01/14/2020,01/25/2020,11,STRAY,ADOPTION
LILY,GERM SHEPHERD,BLACK/TAN,Spayed,LARGE,11/12/2009,12/27/2019,01/25/2020,29,STRAY,ADOPTION
WESTDALE,LABRADOR RETR,YELLOW,Neutered,LARGE,,10/28/2019,10/29/2019,1,CONFISCATE,RETURN TO OWNER
ROMAN,GERM SHEPHERD/MIX,BLACK/WHITE,Male,LARGE,,10/30/2019,2/11/2019,3,STRAY,RETURN TO OWNER
*SHERBERT,POMERANIAN,TAN/WHITE,Male,SMALL,01/16/2014,01/16/2020,01/25/2020,9,STRAY,TRANSFER
WALKER,PIT BULL/MIX,RED/WHITE,Neutered,PUPPY,1/6/2019,2/11/2019,2/11/2019,0,STRAY,RETURN TO OWNER
RILEY,CHESA BAY RETR/MIX,BROWN,Neutered,LARGE,4/9/2015,10/19/2019,2/11/2019,14,OWNER SURRENDER,EUTHANIZE
NILES,AUST SHEPHERD/WELSH CORGI PEM,BLACK/BLUE MERLE,Male,SMALL,08/14/2008,10/27/2019,2/11/2019,6,STRAY,RETURN TO OWNER
WAYLON,LABRADOR RETR,CHOCOLATE,Male,MED,,10/14/2019,2/11/2019,19,STRAY,EUTHANIZE
