Name,Breed,Color,Sex,Size,DateOfBirth,IntakeDate,OutcomeDate,DaysinShelter,IntakeType,OutcomeType
LINDA,GERM SHEPHERD,BLACK/TAN,Spayed,MED,1/5/2015,6/1/2017,7/1/2017,1,STRAY,RETURN TO OWNER
MAYBE,PIT BULL/MIX,BROWN/WHITE,Female,MED,3/11/2006,3/1/2014,01/18/2014,15,OWNER SURRENDER,EUTHANIZE
BENJI,BOSTON TERRIER,BROWN/WHITE,Neutered,TOY,05/28/2012,07/16/2016,07/19/2016,3,STRAY,RETURN TO OWNER
WALTER,CHIHUAHUA SH/MIX,BROWN/BLACK,Neutered,SMALL,,11/4/2019,04/16/2019,5,STRAY,RETURN TO OWNER
DAISY,MALTESE/YORKSHIRE TERR,WHITE/TAN,Spayed,SMALL,08/18/2009,12/7/2015,07/15/2015,3,STRAY,RETURN TO OWNER
*NICK,GERM SHEPHERD/MIX,BLACK,Neutered,LARGE,09/14/2014,09/14/2016,12/10/2016,28,STRAY,ADOPTION
*BROWNIE,CHIHUAHUA LH/DACHSHUND,BROWN,Neutered,SMALL,6/9/2015,08/29/2018,11/9/2018,13,STRAY,TRANSFER
IZZY,LABRADOR RETR,BLACK,Spayed,MED,07/15/2011,02/15/2019,02/16/2019,1,STRAY,RETURN TO OWNER
GATSBY,MALTESE/POODLE TOY,WHITE,Neutered,MED,11/12/2008,7/2/2018,02/14/2018,7,OWNER SURRENDER,EUTHANIZE
JAYA,PIT BULL/MIX,TAN/WHITE,Spayed,MED,10/13/2006,10/13/2014,10/14/2014,1,CONFISCATE,RETURN TO OWNER
WHISKEY,PIT BULL/MIX,TAN/WHITE,Neutered,MED,,08/26/2015,08/29/2015,3,CONFISCATE,RETURN TO OWNER
PHANTOM,SIBERIAN HUSKY,CREAM,Male,MED,09/20/2014,8/6/2016,9/6/2016,1,STRAY,RETURN TO OWNER
MAYA,CHIHUAHUA SH/DACHSHUND,BLACK,Spayed,TOY,07/16/2013,07/16/2014,08/13/2014,28,STRAY,ADOPTION
ROSCOE,REDBONE HOUND/MIX,BR BRINDLE,Neutered,MED,09/14/2014,03/14/2015,03/27/2015,13,STRAY,ADOPTION
MUNA,AUST SHEPHERD,TRICOLOR,Female,MED,01/16/2017,11/16/2017,11/16/2017,0,STRAY,RETURN TO OWNER
ZOEY,LABRADOR RETR/MIX,YELLOW,Spayed,MED,10/12/2013,10/12/2014,12/16/2014,6,OWNER SURRENDER,ADOPTION
*URSULA,PIT BULL,BLACK/WHITE,Spayed,MED,03/24/2018,12/19/2018,2/3/2019,73,STRAY,ADOPTION
AUDREY,BELG MALINOIS,FAWN,Spayed,MED,12/17/2015,09/15/2016,1/10/2016,16,STRAY,ADOPTION
KATE,GERM SHEPHERD,TRICOLOR,Spayed,LARGE,11/18/2015,08/23/2019,9/9/2019,17,STRAY,TRANSFER
*HERSCHEL,PIT BULL,BLUE,Neutered,LARGE,11/10/2013,5/9/2014,2/4/2015,209,ADOPTION RETURN,ADOPTION
KAILEYA,PIT BULL,TAN/WHITE,Spayed,LARGE,02/20/2008,12/7/2016,07/13/2016,1,STRAY,RETURN TO OWNER
,POODLE MIN/MIX,WHITE,Unknown,SMALL,,2/5/2018,2/5/2018,0,STRAY,RETURN TO OWNER
MOLLY,GERM SHEPHERD/ALASKAN HUSKY,WHITE,Female,LARGE,,09/15/2015,10/15/2015,30,TRANSFER,TRANSFER
,PIT BULL,TAN,Male,LARGE,,05/27/2014,4/6/2014,8,STRAY,EUTHANIZE
GIRLIE,FOX TERR SMOOTH,BROWN,Female,SMALL,,02/17/2016,1/3/2016,13,CONFISCATE,RETURN TO OWNER
ANIKA,SIBERIAN HUSKY/MIX,BLACK/WHITE,Spayed,MED,11/5/2014,02/14/2017,02/15/2017,1,STRAY,RETURN TO OWNER
FIONA,PIT BULL/MIX,BLACK/WHITE,Spayed,LARGE,07/15/2014,07/15/2016,05/13/2017,302,OWNER SURRENDER,ADOPTION
*PABLO,CHIHUAHUA SH,TAN,Neutered,TOY,01/30/2011,01/30/2014,03/14/2014,43,STRAY,TRANSFER
ZEUSSCHIN,AUST SHEPHERD,BROWN/TAN,Spayed,LARGE,4/2/2006,07/21/2014,07/24/2014,3,CONFISCATE,RETURN TO OWNER
VIOLET,SHIH TZU/MIX,BLACK,Female,TOY,11/6/2013,11/6/2015,12/6/2015,1,STRAY,RETURN TO OWNER
NIKO,CHIHUAHUA SH/MIX,TAN/WHITE,Neutered,SMALL,03/18/2012,03/18/2014,5/4/2014,18,TRANSFER,ADOPTION
COOPER,ROTTWEILER/MIX,BROWN,Neutered,LARGE,10/6/2018,6/3/2019,9/7/2019,125,STRAY,ADOPTION
KEROK,CHIHUAHUA SH,UNKNOWN,Neutered,MED,01/29/2014,05/22/2015,3/6/2015,12,OWNER SURRENDER,TRANSFER
*SUZIE,PIT BULL,BR BRINDLE/WHITE,Spayed,MED,1/12/2016,1/12/2017,12/13/2017,12,STRAY,ADOPTION
GUWAP,PIT BULL,BLUE/WHITE,Male,MED,,5/4/2017,04/21/2017,16,OWNER SURRENDER,EUTHANIZE
JAKE,LABRADOR RETR,YELLOW,Neutered,LARGE,11/28/2010,8/11/2016,9/11/2016,1,STRAY,RETURN TO OWNER
CALI,PIT BULL,TAN/WHITE,Spayed,MED,,5/8/2015,12/8/2015,7,OWNER SURRENDER,RETURN TO OWNER
KAT,AUST CATTLE DOG/MIX,BR BRINDLE/WHITE,Spayed,MED,05/24/2014,10/12/2015,12/12/2015,2,ADOPTION RETURN,ADOPTION
,SCHNAUZER MIN/MIX,BLACK/GRAY,Male,MED,,5/1/2016,01/13/2016,8,STRAY,EUTHANIZE
FANTASY,SIBERIAN HUSKY,BLACK/WHITE,Female,MED,05/19/2017,5/5/2018,05/19/2018,14,CONFISCATE,RETURN TO OWNER
IVY,PIT BULL/MIX,BR BRINDLE/WHITE,Female,MED,,08/15/2015,08/22/2015,7,CONFISCATE,RETURN TO OWNER
TILLY ANN,AUST CATTLE DOG/MIX,RED,Spayed,MED,4/2/2007,3/2/2014,5/2/2014,2,STRAY,RETURN TO OWNER
ALICE,SIBERIAN HUSKY,WHITE,Female,MED,8/5/2017,12/19/2017,12/20/2017,1,STRAY,RETURN TO OWNER
STRING BEAN,PARSON RUSS TER,BLACK/WHITE,Spayed,SMALL,06/16/2010,05/14/2014,06/17/2014,34,STRAY,TRANSFER
CAMMY,CHIHUAHUA SH/MIX,BLACK/WHITE,Spayed,SMALL,10/25/2001,10/25/2016,10/26/2016,1,CONFISCATE,RETURN TO OWNER
*FINN,BORDER COLLIE,BLACK/WHITE,Neutered,MED,09/25/2009,09/25/2014,11/10/2014,16,STRAY,ADOPTION
,GERM SHEPHERD,BLACK,Female,MED,,3/7/2014,3/7/2014,0,CONFISCATE,RETURN TO OWNER
STONEWALL,POODLE STND,CHOCOLATE,Male,PUPPY,10/4/2018,7/4/2019,9/4/2019,2,STRAY,RETURN TO OWNER
JAKE,BICHON FRISE/POODLE MIN,WHITE,Neutered,SMALL,12/28/2010,06/13/2014,06/28/2014,15,STRAY,ADOPTION
BUSTER,PIT BULL,RED/WHITE,Male,LARGE,09/15/2013,09/15/2015,10/14/2015,29,STRAY,EUTHANIZE
OHIO,JAPANESE CHIN/CHIHUAHUA LH,BLACK/WHITE,Spayed,TOY,03/13/2012,02/23/2017,03/15/2017,20,STRAY,ADOPTION
D-BO,LABRADOR RETR/MIX,CREAM,Male,LARGE,12/24/2001,12/23/2014,12/24/2014,1,STRAY,RETURN TO OWNER
ROCKIE,GERM SHEPHERD,TAN,Spayed,LARGE,05/13/2004,04/18/2015,12/5/2015,24,CONFISCATE,EUTHANIZE
DAISY,PIT BULL,GRAY,Spayed,LARGE,11/15/2013,11/30/2015,11/30/2015,0,STRAY,DISPOSAL
DIRTY GIRL,PIT BULL,BLACK/WHITE,Spayed,LARGE,06/19/2008,08/20/2017,08/31/2017,11,CONFISCATE,RETURN TO OWNER
WHISKEY,PIT BULL,WHITE/BROWN,Neutered,LARGE,12/27/2009,05/14/2017,3/6/2017,20,OWNER SURRENDER,ADOPTION
KOOKIE,PIT BULL,BLACK/WHITE,Spayed,MED,2/1/2008,11/21/2016,1/12/2016,10,CONFISCATE,RETURN TO OWNER
*GITCHI,PIT BULL,BROWN/WHITE,Spayed,MED,03/13/2012,03/13/2015,03/25/2015,12,STRAY,ADOPTION
BUDDY,ALASKAN HUSKY/BORDER COLLIE,BLACK/WHITE,Neutered,MED,11/18/2012,6/5/2014,12/6/2014,37,STRAY,ADOPTION
BAILEY,AUST SHEPHERD,TRICOLOR,Female,MED,,11/29/2018,11/29/2018,0,STRAY,RETURN TO OWNER
HOOCH,DOGUE DE BORDX/MIX,RED,Male,X-LRG,,06/27/2016,12/16/2016,172,QUARANTINE,EUTHANIZE
ROMELL,MIN PINSCHER,BLACK/TAN,Neutered,TOY,11/12/2009,6/6/2018,7/6/2018,1,STRAY,RETURN TO OWNER
*BEN,YORKSHIRE TERR/MIX,TAN,Neutered,TOY,03/14/2015,6/9/2016,09/17/2016,11,STRAY,ADOPTION
,CHIHUAHUA SH,BROWN,Female,TOY,,9/6/2015,06/20/2015,11,STRAY,EUTHANIZE
HERSHEY,LABRADOR RETR,CHOCOLATE,Female,LARGE,06/19/2007,5/12/2016,7/12/2016,2,STRAY,RETURN TO OWNER
CHOPPER,CHIHUAHUA SH,BLACK,Neutered,TOY,11/15/2010,04/24/2018,2/5/2018,8,STRAY,RETURN TO OWNER
DEDO,PIT BULL,BLACK/WHITE,Male,LARGE,10/24/2012,10/24/2014,10/28/2014,4,STRAY,RETURN TO OWNER
DIAMOND,CHIHUAHUA SH/MIX,BROWN/WHITE,Spayed,TOY,05/31/2004,11/6/2016,11/6/2016,0,STRAY,RETURN TO OWNER
REESE,CHIHUAHUA SH,RED,Neutered,SMALL,03/14/2013,03/14/2017,03/31/2017,17,STRAY,ADOPTION
BONNIE,GERM SHEPHERD,TAN/BLACK,Spayed,LARGE,11/8/2017,06/13/2018,06/13/2018,0,STRAY,RETURN TO OWNER
,CHIHUAHUA LH/MIX,WHITE/TAN,Female,SMALL,,12/13/2014,12/30/2014,17,STRAY,TRANSFER
CHARLIE,GERM SHEPHERD,TAN/BLACK,Neutered,LARGE,10/14/2017,2/3/2019,9/5/2019,68,STRAY,ADOPTION
SAMMY,GERM SHEPHERD,BROWN/BLACK,Neutered,LARGE,,10/10/2019,10/10/2019,0,STRAY,RETURN TO OWNER
DAISY,CHIHUAHUA SH/MIX,BLACK/TAN,Spayed,SMALL,06/27/2012,06/20/2014,06/28/2014,8,STRAY,ADOPTION
*SQUIRREL,CHIHUAHUA SH,TAN,Spayed,TOY,05/26/2012,05/26/2014,06/14/2014,19,CONFISCATE,ADOPTION
BABY,CHIHUAHUA SH/MALTESE,TAN,Spayed,PUPPY,12/4/2018,7/6/2018,6/7/2018,29,OWNER SURRENDER,ADOPTION
BUDDY,SIBERIAN HUSKY/MIX,BLACK/WHITE,Neutered,LARGE,,6/1/2015,7/1/2015,1,STRAY,RETURN TO OWNER
ACACIA,BOXER/PIT BULL,BROWN/WHITE,Spayed,MED,12/24/2010,10/25/2017,10/27/2017,2,STRAY,RETURN TO OWNER
THOR,RAT TERRIER,WHITE,Neutered,SMALL,03/20/2011,12/4/2017,5/5/2017,23,OWNER SURRENDER,EUTHANIZE
*BILL,ROTTWEILER/MIX,BLACK,Neutered,LARGE,01/14/2009,01/14/2015,2/6/2015,139,STRAY,ADOPTION
ABBEY,CHIHUAHUA SH,BROWN,Spayed,TOY,2/3/2014,2/5/2014,05/13/2014,11,STRAY,ADOPTION
ZENO,GERM SHEPHERD,BLACK/TAN,Neutered,LARGE,11/7/2017,06/17/2019,08/27/2019,71,STRAY,ADOPTION
ODEN,PIT BULL,WHITE/TAN,Male,LARGE,,10/13/2018,10/23/2018,10,QUARANTINE,RETURN TO OWNER
NEGRO,CHIHUAHUA SH/DACHSHUND,BLACK/TAN,Male,SMALL,,3/7/2018,5/7/2018,2,STRAY,RETURN TO OWNER
*DANTE,CHIHUAHUA SH/MIX,BROWN/WHITE,Neutered,SMALL,2/7/2017,12/22/2018,04/29/2019,128,OWNER SURRENDER,TRANSFER
CALI,PIT BULL,BL BRINDLE/WHITE,Spayed,LARGE,02/17/2014,6/3/2016,8/3/2016,2,STRAY,RETURN TO OWNER
BUDDY,BOXER/QUEENSLAND HEEL,BR BRINDLE,Male,MED,04/29/2011,04/26/2014,04/29/2014,3,STRAY,RETURN TO OWNER
AXXEL,LABRADOR RETR/SIBERIAN HUSKY,YELLOW,Neutered,LARGE,2/11/2012,10/22/2015,12/12/2015,51,STRAY,ADOPTION
STELLA,PARSON RUSS TER/MIX,BLACK/WHITE,Spayed,MED,11/4/2018,9/7/2018,11/7/2018,2,STRAY,RETURN TO OWNER
MOLLY,LABRADOR RETR,YELLOW,Spayed,LARGE,09/20/2005,09/20/2014,09/20/2014,0,STRAY,RETURN TO OWNER
TOBY,CHIHUAHUA SH/PARSON RUSS TER,BROWN,Neutered,SMALL,,03/30/2016,05/26/2016,57,OWNER SURRENDER,TRANSFER
HOSS,AUST KELPIE,BLACK/TAN,Male,MED,,02/27/2015,02/28/2015,1,CONFISCATE,RETURN TO OWNER
MIWOK,CATAHOULA,BLACK/TAN,Male,LARGE,10/25/2008,09/29/2017,3/10/2017,4,STRAY,RETURN TO OWNER
PETEY,MALTESE/SHIH TZU,APRICOT,Neutered,SMALL,07/18/2011,5/12/2016,5/12/2016,0,STRAY,EUTHANIZE
ARTHUR,PIT BULL,WHITE/GRAY,Neutered,LARGE,2/11/2013,5/12/2018,01/16/2019,42,STRAY,EUTHANIZE
,ROTTWEILER/LABRADOR RETR,BLACK,Male,PUPPY,4/7/2016,8/7/2016,8/7/2016,0,STRAY,TRANSFER
CHIA,CHIHUAHUA LH/POMERANIAN,BROWN/BLACK,Spayed,SMALL,8/10/2013,2/10/2014,10/10/2014,8,STRAY,ADOPTION
DOLLY,POODLE MIN,WHITE,Spayed,SMALL,3/1/2011,5/12/2016,6/1/2017,32,STRAY,ADOPTION
PERCY,PUG,FAWN,Male,SMALL,,05/22/2018,05/24/2018,2,STRAY,RETURN TO OWNER
WALDO,LABRADOR RETR/MIX,BROWN,Male,LARGE,,07/29/2016,2/8/2016,4,CONFISCATE,RETURN TO OWNER
CHIQUITA,AMERICAN STAFF,WHITE/BROWN,Spayed,X-LRG,02/15/2009,02/15/2016,02/16/2016,1,STRAY,RETURN TO OWNER
PEANUT,PIT BULL,TAN/WHITE,Female,MED,,7/8/2015,08/14/2015,7,STRAY,RETURN TO OWNER
*HERC,DACHSHUND/CHIHUAHUA SH,BLACK/GRAY,Neutered,MED,03/26/2005,03/26/2014,5/6/2014,71,TRANSFER,TRANSFER
*HUDSON,PIT BULL/MIX,BLUE/WHITE,Neutered,MED,8/3/2017,8/3/2018,5/5/2018,58,STRAY,ADOPTION
RILEY,FOX TERR SMOOTH,WHITE/BLACK,Neutered,SMALL,03/22/2014,03/22/2017,04/15/2017,24,OWNER SURRENDER,ADOPTION
*PEPSI,PIT BULL,GOLD/WHITE,Spayed,PUPPY,09/13/2015,11/28/2015,11/28/2015,0,STRAY,TRANSFER
BALTO,SIBERIAN HUSKY,BLACK/WHITE,Male,LARGE,01/28/2011,12/26/2014,12/26/2014,0,STRAY,RETURN TO OWNER
CHANCE,PIT BULL/MIX,BROWN/WHITE,Neutered,LARGE,7/5/2004,10/3/2017,10/3/2017,0,STRAY,RETURN TO OWNER
RAMBO,COCKER SPAN,BLACK/TAN,Neutered,SMALL,05/20/2006,12/6/2017,07/21/2017,39,CONFISCATE,TRANSFER
*CARLTON,LABRADOR RETR/MIX,BLACK/WHITE,Neutered,MED,12/15/2014,11/8/2015,5/9/2015,25,STRAY,ADOPTION
*MANNY,PIT BULL,GRAY/WHITE,Neutered,LARGE,11/23/2005,11/23/2016,01/19/2017,57,STRAY,ADOPTION
BUFFY,PIT BULL/PEKINGESE,BR BRINDLE/WHITE,Spayed,MED,9/7/2013,10/15/2016,10/22/2016,7,OWNER SURRENDER,ADOPTION
DENALI,RHOD RIDGEBACK/BOXER,BROWN/WHITE,Spayed,MED,06/29/2015,03/15/2016,06/18/2016,95,STRAY,ADOPTION
*HEIDI,ROTTWEILER,BLACK/TAN,Spayed,LARGE,9/1/2014,3/12/2017,01/24/2018,52,STRAY,ADOPTION
*GUS,PIT BULL/MIX,BR BRINDLE/WHITE,Neutered,MED,02/16/2014,7/1/2015,01/24/2015,17,ADOPTION RETURN,ADOPTION
SISSY CHEVELLE,CHIHUAHUA SH/MALTESE,BLACK,Spayed,PUPPY,8/4/2018,7/6/2018,6/7/2018,29,OWNER SURRENDER,ADOPTION
*MISSY,CHIHUAHUA SH,FAWN,Spayed,SMALL,11/1/2016,4/1/2018,01/16/2018,12,STRAY,ADOPTION
ANGUS,LABRADOR RETR,YELLOW,Neutered,LARGE,07/22/2008,03/19/2016,03/19/2016,0,STRAY,RETURN TO OWNER
JORDAN,LABRADOR RETR/PIT BULL,BROWN/WHITE,Neutered,LARGE,07/28/2015,2/12/2016,12/29/2016,27,STRAY,EUTHANIZE
PENNY,CHIHUAHUA SH/MIX,TAN/WHITE,Spayed,SMALL,4/8/2014,07/21/2015,08/15/2015,25,STRAY,ADOPTION
ELLIE,BEAGLE,TRICOLOR,Female,MED,,04/17/2017,04/17/2017,0,STRAY,RETURN TO OWNER
*MINDY,LABRADOR RETR/CHINESE SHARPEI,BLACK/CHOCOLATE,Spayed,LARGE,07/13/2013,06/13/2017,2/9/2017,81,STRAY,TRANSFER
LIZA JANE,LABRADOR RETR,BLACK,Spayed,LARGE,8/8/2009,10/9/2019,11/9/2019,1,STRAY,RETURN TO OWNER
POINT,PARSON RUSS TER,WHITE/BLACK,Neutered,SMALL,06/15/2019,6/5/2019,7/5/2019,1,STRAY,RETURN TO OWNER
PIXIE,GREAT PYRENEES,WHITE,Female,LARGE,,11/1/2017,01/14/2017,3,STRAY,RETURN TO OWNER
KONA,ALASKAN HUSKY,SILVER/WHITE,Female,MED,12/11/2014,12/11/2015,12/11/2015,0,STRAY,RETURN TO OWNER
*ANNA,AMERICAN STAFF,BLACK/WHITE,Spayed,SMALL,01/29/2012,01/22/2014,03/25/2014,62,STRAY,ADOPTION
LOLA,LABRADOR RETR,BLACK,Spayed,MED,10/25/2013,9/8/2014,08/15/2014,6,TRANSFER,RETURN TO OWNER
KATANA,PIT BULL,TAN/WHITE,Female,LARGE,07/27/2008,12/16/2014,01/13/2015,28,STRAY,EUTHANIZE
BRODY,GERM WH POINT,CHOCOLATE,Neutered,LARGE,1/7/2014,12/15/2015,12/31/2015,16,STRAY,ADOPTION
PRINCESS,GERM SHEPHERD,TAN/BLACK,Spayed,LARGE,7/7/2012,7/7/2015,7/7/2015,0,STRAY,RETURN TO OWNER
SAMANTHA,GERM SHEPHERD,BLACK/TAN,Spayed,LARGE,2/5/2013,2/11/2016,11/17/2016,15,OWNER SURRENDER,EUTHANIZE
NALA,MALTESE/MIX,CREAM,Female,TOY,06/15/2013,01/14/2014,01/15/2014,1,STRAY,RETURN TO OWNER
MISSUS,PIT BULL/MIX,BROWN/WHITE,Spayed,SMALL,02/13/2011,05/20/2014,06/21/2014,32,CONFISCATE,EUTHANIZE
TURBO,PARSON RUSS TER/MIX,WHITE,Neutered,SMALL,08/13/2009,2/9/2016,09/22/2016,20,OWNER SURRENDER,EUTHANIZE
BALTO,SIBERIAN HUSKY,BLACK/WHITE,Male,LARGE,01/28/2011,10/10/2014,10/10/2014,0,STRAY,RETURN TO OWNER
LUCKY,PIT BULL,BLUE/WHITE,Male,PUPPY,01/24/2014,8/4/2014,9/4/2014,1,CONFISCATE,RETURN TO OWNER
ALI-I,ROTTWEILER,BLACK/TAN,Male,LARGE,2/8/2014,2/8/2018,8/8/2018,6,OWNER SURRENDER,EUTHANIZE
THOR,GERM SHEPHERD,WHITE,Male,LARGE,9/7/2012,9/7/2014,9/7/2014,0,STRAY,RETURN TO OWNER
LOBO,GERM SHEPHERD,BLACK,Male,LARGE,,01/17/2018,01/30/2018,13,STRAY,RETURN TO OWNER
KITA,GERM SHEPHERD,BLACK/TAN,Female,LARGE,01/20/2013,11/19/2015,11/19/2015,0,STRAY,RETURN TO OWNER
*CHER,GERM SHEPHERD,TAN/BLACK,Spayed,LARGE,06/26/2018,3/6/2019,3/7/2019,30,STRAY,ADOPTION
*FERN/BELLA,BORDER COLLIE/MIX,GRAY/WHITE,Spayed,MED,08/18/2011,08/30/2014,11/9/2014,12,ADOPTION RETURN,EUTHANIZE
CHOCO,BELG MALINOIS/GERM SHEPHERD,BLACK/TAN,Female,LARGE,3/5/2015,3/5/2016,05/13/2016,10,OWNER SURRENDER,TRANSFER
JACK,CHIHUAHUA SH/DACHSHUND,BROWN,Neutered,SMALL,7/9/2011,4/6/2014,4/6/2014,0,STRAY,RETURN TO OWNER
SANCHO,LABRADOR RETR/MIX,BLACK,Neutered,LARGE,10/31/2014,01/27/2016,01/30/2016,3,STRAY,RETURN TO OWNER
ROXY,AUST CATTLE DOG/BELG MALINOIS,TAN,Spayed,MED,11/28/2014,06/26/2015,07/30/2015,34,STRAY,ADOPTION
STELLA,OLD ENG BULLDOG,BR BRINDLE,Spayed,LARGE,1/4/2014,10/20/2015,10/20/2015,0,STRAY,RETURN TO OWNER
TABU,LABRADOR RETR/MIX,BLACK,Neutered,LARGE,05/22/2007,5/8/2014,5/8/2014,0,STRAY,RETURN TO OWNER
*DIXIE,CHIHUAHUA SH/MIX,CREAM,Spayed,SMALL,4/6/2016,12/23/2016,01/21/2017,29,STRAY,ADOPTION
BROWNIE,CHIHUAHUA SH/MIX,BROWN/TAN,Male,SMALL,11/17/2017,10/14/2018,10/17/2018,3,STRAY,RETURN TO OWNER
LACEY,AUST CATTLE DOG/LABRADOR RETR,BLACK/WHITE,Spayed,LARGE,11/25/2012,02/18/2015,02/25/2015,7,OWNER SURRENDER,ADOPTION
*LILY,RHOD RIDGEBACK/LABRADOR RETR,TAN/BLACK,Spayed,LARGE,04/21/2015,05/13/2017,05/26/2017,13,ADOPTION RETURN,ADOPTION
GUNNER,CATAHOULA/AM PIT BULL TER,BR BRINDLE/BL BRINDLE,Neutered,MED,10/15/2013,12/20/2014,01/19/2015,30,STRAY,EUTHANIZE
HEIDI,LABRADOR RETR,YELLOW,Spayed,LARGE,5/4/2008,08/16/2014,08/16/2014,0,STRAY,RETURN TO OWNER
BUBBA,CHIHUAHUA SH,BLACK/TAN,Neutered,SMALL,04/30/2013,04/30/2015,05/15/2015,15,STRAY,ADOPTION
KITTY,CHIHUAHUA LH,TAN,Female,SMALL,3/5/2016,3/5/2017,3/5/2017,0,STRAY,RETURN TO OWNER
BELLA,LHASA APSO/MIX,WHITE/GRAY,Spayed,SMALL,7/1/2011,7/1/2016,8/1/2016,1,STRAY,RETURN TO OWNER
CHAPO,PIT BULL/MIX,BLACK/BROWN,Male,SMALL,06/15/2017,12/15/2017,12/15/2017,0,STRAY,RETURN TO OWNER
CHICO,GREAT PYRENEES,WHITE,Male,LARGE,7/10/2014,7/10/2015,8/10/2015,1,STRAY,RETURN TO OWNER
DESMOND,PIT BULL,GRAY,Neutered,LARGE,10/17/2009,7/10/2015,11/18/2015,42,STRAY,ADOPTION
CHANCE,PIT BULL,BL BRINDLE/WHITE,Neutered,LARGE,5/12/2015,05/25/2019,5/6/2019,11,CONFISCATE,RETURN TO OWNER
GOBLIN,PARSON RUSS TER,BLACK/WHITE,Neutered,SMALL,12/3/2016,07/21/2018,1/8/2018,11,QUARANTINE,RETURN TO OWNER
VANILLA BEAN,CHIHUAHUA SH/MIX,CREAM,Female,TOY,7/9/2009,11/14/2014,11/15/2014,1,STRAY,RETURN TO OWNER
BATMAN,CHIHUAHUA SH,BLACK,Neutered,SMALL,01/14/2018,10/16/2018,11/24/2018,39,CONFISCATE,ADOPTION
OTIS,PIT BULL/MIX,WHITE/BLACK,Neutered,PUPPY,12/3/2014,5/6/2014,06/14/2014,9,CONFISCATE,ADOPTION
ZEPHYR,SIBERIAN HUSKY,WHITE,Neutered,MED,12/5/2017,04/19/2018,05/24/2018,35,STRAY,ADOPTION
OZZIE,LABRADOR RETR/POODLE STND,CREAM,Neutered,LARGE,2/10/2005,1/5/2016,7/5/2016,6,STRAY,RETURN TO OWNER
CHARLIE,PIT BULL,GRAY/WHITE,Neutered,MED,01/20/2016,01/20/2018,03/31/2018,70,STRAY,ADOPTION
MESCAL,GERM SHEPHERD,RED/BLACK,Male,MED,01/21/2017,5/1/2019,5/1/2019,0,STRAY,RETURN TO OWNER
ROI,POODLE MIN,WHITE,Male,SMALL,6/3/2012,5/1/2017,10/1/2017,5,STRAY,RETURN TO OWNER
,CHIHUAHUA SH,BLACK/WHITE,Male,SMALL,1/12/2015,1/12/2017,11/12/2017,10,STRAY,TRANSFER
OSO,GERM SHEPHERD,BLACK/TAN,Neutered,PUPPY,7/12/2015,04/22/2016,05/27/2016,35,STRAY,TRANSFER
LUCY,GERM SHEPHERD,BLACK/TAN,Spayed,LARGE,04/22/2012,8/5/2014,10/5/2014,2,ADOPTION RETURN,ADOPTION
FLOKI,BORDER COLLIE/PIT BULL,BLACK/WHITE,Neutered,LARGE,03/17/2016,9/2/2017,2/3/2017,21,ADOPTION RETURN,ADOPTION
GYPSY,LABRADOR RETR,YELLOW,Spayed,LARGE,,08/17/2019,08/17/2019,0,STRAY,RETURN TO OWNER
DILLON,GERM SHEPHERD/MIX,BLACK/TAN,Male,LARGE,09/30/2005,09/15/2015,10/15/2015,30,TRANSFER,TRANSFER
*BITSY,CHIHUAHUA SH/MALTESE,CHOCOLATE/WHITE,Spayed,PUPPY,12/4/2018,7/6/2018,7/7/2018,30,OWNER SURRENDER,ADOPTION
SILVERIA,BELG MALINOIS,BROWN/BLACK,Female,LARGE,06/21/2015,10/21/2015,10/23/2015,2,STRAY,RETURN TO OWNER
BELLA,LABRADOR RETR,YELLOW,Female,LARGE,,7/10/2019,8/10/2019,1,STRAY,RETURN TO OWNER
,CHIHUAHUA SH,TAN,Male,TOY,10/7/2017,11/25/2017,1/12/2017,6,STRAY,TRANSFER
BOY,PIT BULL,BLUE,Male,MED,6/3/2014,03/28/2015,04/13/2015,16,STRAY,EUTHANIZE
,DOBERMAN PINSCH,RED,Male,LARGE,,2/5/2015,05/30/2015,28,STRAY,TRANSFER
CHRYSANTHEMUM,NORW ELKHOUND,TRICOLOR,Spayed,LARGE,09/29/2008,08/13/2016,08/13/2016,0,STRAY,RETURN TO OWNER
FRISCO,PIT BULL,WHITE/BLACK,Spayed,LARGE,,8/9/2016,10/9/2016,2,STRAY,RETURN TO OWNER
ROSCOE,PIT BULL/MIX,BR BRINDLE/WHITE,Neutered,LARGE,2/9/2006,2/9/2014,3/9/2014,1,CONFISCATE,RETURN TO OWNER
*WANDA,MALTESE/MIX,WHITE,Spayed,SMALL,08/29/2012,08/17/2015,08/29/2015,12,STRAY,ADOPTION
BLUE,BULLDOG,BLUE MERLE,Neutered,LARGE,11/15/2012,04/17/2015,04/17/2015,0,STRAY,RETURN TO OWNER
CHOCOMIL,CATAHOULA,BLUE MERLE,Neutered,LARGE,05/13/2012,8/4/2014,9/4/2014,1,STRAY,RETURN TO OWNER
MICK,BORDER COLLIE/MIX,BLACK/WHITE,Neutered,LARGE,,08/18/2015,08/18/2015,0,STRAY,RETURN TO OWNER
CHEETO,CHIHUAHUA SH,TAN,Neutered,SMALL,1/7/2013,1/7/2014,07/22/2014,21,STRAY,ADOPTION
TWITCH,CHINESE SHARPEI/GERM SHEPHERD,TRICOLOR,Spayed,MED,05/31/2006,5/6/2016,7/6/2016,2,CONFISCATE,RETURN TO OWNER
