PrimaryColor,count,Adoption,Euthanasia,Transfer,Foster
BLACK,24278,12501,5062,6475,240
WHITE,14943,7936,2260,4590,157
BROWN,14647,7501,3169,3834,143
TAN,11503,6333,1839,3213,118
BRINDLE,4967,2504,1200,1203,60
TRICOLOR,4086,2323,583,1145,35
BLUE,4084,2096,863,1067,58
RED,3561,1851,720,965,25
YELLOW,1504,685,309,494,16
MERLE,841,517,76,242,6
SABLE,824,539,34,251,0
TICK,336,241,9,85,1
